growth_run_id,predicted_sq_nm,array_equal_to_m20,maximum_absolute_height_difference_nm,baseline_sq_nm,selected_sq_nm
6022,1.313524054588533,True,0.0,1.313524054588533,1.313524054588533
6029,1.598836977651232,True,0.0,1.598836977651232,1.598836977651232
6056,1.6338508663940672,True,0.0,1.6338508663940672,1.6338508663940672
6070,1.8311266539120452,True,0.0,1.8311266539120452,1.8311266539120452
6072,0.7607716381015716,True,0.0,0.7607716381015716,0.7607716381015716
6095,8.758984720320248,True,0.0,8.758984720320248,8.758984720320248
6099,8.458723849566589,True,0.0,8.458723849566589,8.458723849566589
6101,0.5666429826402098,True,0.0,0.5666429826402098,0.5666429826402098
N6342,0.8327786888639845,True,0.0,0.8327786888639845,0.8327786888639845
N6358,0.8342641554266957,True,0.0,0.8342641554266957,0.8342641554266957
N6382,0.8296865787219431,True,0.0,0.8296865787219431,0.8296865787219431
N6390,1.2286004274463789,True,0.0,1.2286004274463789,1.2286004274463789
