target,confidence_method,confidence_vs_absolute_error_spearman,p_value,aurc_nm,risk_at_50pct_coverage_nm
Rq_nm,old_density_amplitude_risk,-0.13728805797130186,0.5321927897205833,0.9133415548494862,0.9852026679477225
Rq_nm,tta_variance_only,-0.12450592885375496,0.5713796382480376,1.1015167017439413,0.9439761274144622
Rq_nm,m15a_tta_centrality_only,-0.04670883713364617,0.8323952077972121,1.2505998430430825,1.0105502430793114
Rq_nm,rotation_period_only,0.09300031846032746,0.6729826739994982,1.022189763858287,1.249028773333608
Rq_nm,m15b_angular_coverage_x_tta,-0.059797382601399926,0.786369580414645,0.9902652835082063,1.0149846693496083
Rq_nm,m15b_final_with_conflict_veto,-0.6167531693103068,0.0017216782096251477,0.6576799220468541,0.5127100587168011
FSMI_nm,old_density_amplitude_risk,-0.08718292732484134,0.6924351986526429,0.8477462419550088,0.9192708993404445
FSMI_nm,tta_variance_only,-0.10968379446640317,0.6183444606587871,0.9984967260025815,0.8647416330669081
FSMI_nm,m15a_tta_centrality_only,-0.3459745341596841,0.10585676025635032,0.7453667133750896,0.7458262041624638
FSMI_nm,rotation_period_only,0.08459071519529786,0.7011649736398927,0.9332067581211044,1.1145690822853893
FSMI_nm,m15b_angular_coverage_x_tta,-0.24561404258591538,0.2586250197133236,0.7458522831036511,0.800831121233283
FSMI_nm,m15b_final_with_conflict_veto,-0.6019273719711167,0.002375150123735429,0.5841509025113298,0.4806257741092593
