Kendall,MAE,N,R2,RMSE,Spearman,calibration,calibration_mean_slope,composite_score,feature_set,high_rq_sensitivity,high_rq_specificity,high_tail_MAE,inner_calibration_scope,low_high_balanced_accuracy,low_tail_MAE,median_AE,model_family,pairwise_concordance,predicted_std,predicted_truth_std_ratio,raw_MAE,raw_Spearman,sample_weighting,target_variant,trial_id,truth_std
0.25691699604743085,1.2857150865731934,23,0.24722400478316053,1.899220173479223,0.41106719367588934,none,1.0,0.9318449141538802,E1_dino_keyframe,0.625,0.6666666666666666,2.23229420531608,inner_oof_training_predictions_only,0.5625,1.0606658078089466,1.0226850338913158,ridge,0.6284584980237155,0.9455086887234211,0.42244532922460576,1.2857150865731934,0.41106719367588934,none,T4_second_order_trimmed_mean,trial_0004,2.2381800041650193
0.25691699604743085,1.285768381612717,23,0.24712736514953737,1.8993420783039459,0.41106719367588934,none,1.0,0.9318789282008042,E1_dino_keyframe,0.625,0.6666666666666666,2.232858586800126,inner_oof_training_predictions_only,0.5625,1.0601340041060745,1.0229246055332781,ridge,0.6284584980237155,0.9450679834126042,0.42224842579860933,1.285768381612717,0.41106719367588934,quantile_balanced,T4_second_order_trimmed_mean,trial_0012,2.2381800041650193
0.2490118577075099,1.284423578331576,23,0.26096965716925025,1.975165756445434,0.40513833992094866,none,1.0,0.9387792230901736,E1_dino_keyframe,0.5,0.8666666666666667,2.328059386730664,inner_oof_training_predictions_only,0.6875,0.9902104129466234,1.0451861917980283,ridge,0.6245059288537549,0.8980710645511354,0.3822836408636679,1.284423578331576,0.40513833992094866,none,T6_quality_weighted_second_order,trial_0006,2.3492270360358174
0.2490118577075099,1.2846048216431138,23,0.2607553714993992,1.9754520904538264,0.40513833992094866,none,1.0,0.9388810528060447,E1_dino_keyframe,0.5,0.8666666666666667,2.3286711885433924,inner_oof_training_predictions_only,0.6875,0.9899150938911995,1.0463172073781601,ridge,0.6245059288537549,0.8975758961466395,0.38207286157460796,1.2846048216431138,0.40513833992094866,quantile_balanced,T6_quality_weighted_second_order,trial_0014,2.3492270360358174
0.3438735177865613,1.431364332853209,23,0.20804614677346822,1.948015337576775,0.4298418972332016,none,1.0,0.953604743713099,E1_dino_keyframe,0.875,0.3333333333333333,1.7095646213201772,inner_oof_training_predictions_only,0.6875,1.5793283830445888,0.8475355628250507,ridge,0.6719367588932806,1.281282351129697,0.5724661773161069,1.431364332853209,0.4298418972332016,quantile_balanced,T4_second_order_trimmed_mean,trial_0028,2.2381800041650193
0.3438735177865613,1.4314573068931549,23,0.208039328856216,1.9480237227741817,0.4298418972332016,none,1.0,0.9536297227950608,E1_dino_keyframe,0.875,0.3333333333333333,1.7091113657630763,inner_oof_training_predictions_only,0.6875,1.579928811025145,0.8490551267561277,ridge,0.6719367588932806,1.2818084837550137,0.5727012489476726,1.4314573068931549,0.4298418972332016,none,T4_second_order_trimmed_mean,trial_0020,2.2381800041650193
0.35968379446640314,1.4537684968185356,23,0.21296182434800692,2.0383103604175585,0.4644268774703557,none,1.0,0.9583912306759235,E1_dino_keyframe,0.75,0.5333333333333333,1.8407863874164243,inner_oof_training_predictions_only,0.75,1.4989630764283386,0.9406735834840347,ridge,0.6798418972332015,1.310950272415669,0.5580347290008294,1.4537684968185356,0.4644268774703557,quantile_balanced,T6_quality_weighted_second_order,trial_0030,2.3492270360358174
0.35968379446640314,1.454052886243781,23,0.21297445264155168,2.0382940076626244,0.4644268774703557,none,1.0,0.9585035759896777,E1_dino_keyframe,0.75,0.5333333333333333,1.8406991395332022,inner_oof_training_predictions_only,0.75,1.4995020961125176,0.9423477646320237,ridge,0.6798418972332015,1.311518744447854,0.5582767115863628,1.454052886243781,0.4644268774703557,none,T6_quality_weighted_second_order,trial_0022,2.3492270360358174
0.23320158102766797,1.3882038974462105,23,0.33028209706395273,1.9636300842428642,0.3843873517786562,none,1.0,0.9753283598981929,E1_dino_keyframe,0.75,0.8,2.214686912859789,inner_oof_training_predictions_only,0.75,1.1764238678214443,1.0443085976180349,ridge,0.616600790513834,1.173579907570316,0.478350646279831,1.3882038974462105,0.3843873517786562,none,T2_second_order_median_rq,trial_0002,2.453388359976798
0.23320158102766797,1.3882038974462105,23,0.33028209706395273,1.9636300842428642,0.3843873517786562,none,1.0,0.9753283598981929,E1_dino_keyframe,0.75,0.8,2.214686912859789,inner_oof_training_predictions_only,0.75,1.1764238678214443,1.0443085976180349,ridge,0.616600790513834,1.173579907570316,0.478350646279831,1.3882038974462105,0.3843873517786562,none,T7_roughness_latent_factor,trial_0007,2.453388359976798
