growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass
N6389,M10_dense_island_spectral_pareto,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.0868287086486816,1.1272311210632324,1.1141919493675232,1.0117028055202795,1.1100621223449707,1.4080729484558105,0.006035125181219263,43.20187890216471,0.05180485935100698,0.7223124647140491,0.11179753951423432,2.018976652767851,1.942965791368323e-06,0.9924235731248817,0.0005580923828168993,0.0002572668966995392,0.0003008254861175916,0.7487163052798063,15.748031496062993,0.4,0.25,0.015862854640440682,0.5459443155841197,0.09020205707156229,0.025658944887035684,0.9924235731248817,15.748031496062993,0.9939648748187807,9.151029648413019,1.0445691347122192,0.038904857397041824,False,0.35707879066467285,0.3649488091468811,0.02156471890018088,0.4151173084974289,0.4433935284614563,0.06377228838261094,0.647140622138977,0.5091073513031006,0.2711280253223006,1.0106632113456726,0.9674664437770844,0.044649370369833005,0.9768643379211426,4.594696521759033,0.7873930664854532,0.0004159160851147862,0.00011818938439289665,2.519064654166888,4.601784958839416,4.91376669406891,0.06349136103797247,0.15491048888646755,0.12128905540617059,0.27720088484246264,2.9688728297108966,3.543156290020158,0.16208245228324208,0.9784352810998191,True
N6389,M16b_baseline_dense_microisland_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
N6389,M17a_fixed_sparse_peak_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
N6389,M17b_topology_sparse_peak_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
N6389,M17c_topology_sparse_finetexture_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
N6389,M17d_multiscale_texture_no_peak_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
N6389,M17e_broad_sparse_peak_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
N6389,M17f_broad_sparse_finetexture_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
N6389,M17g_moderate_broad_topology_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
N6389,M17h_hierarchical_sparse_island_terrace,2.0189785957336426,2.8771848693734574,0.8582062736398148,1.2279871702194214,1.1314064860343933,1.1141919493675232,1.0154502432697006,1.1496400833129883,1.4416236877441406,0.011564349154038893,40.540299035705466,0.10903503882423005,1.6889626646041869,0.22605342111494986,2.0189765631810253,2.0325526173259334e-06,0.672868237349998,0.0014899927927971568,0.0014235408751493996,6.645191764764196e-05,0.22070946072491804,15.748031496062993,0.4,0.1071428571428572,0.25324303244238444,1.0804706196069866,0.17920754811593478,0.05400504956480523,0.672868237349998,15.748031496062993,0.9884356508459611,8.53564497564808,1.0174599885940552,0.05562972682612074,False,0.2925194501876831,0.3649488091468811,0.19846443430932617,0.36098307371139526,0.4433935284614563,0.18586300759963592,0.34736643731594086,0.5091073513031006,0.3176951060973114,0.9880425035953522,0.9674664437770844,0.021267982936893248,1.00115504860878,4.594696521759033,0.7821063820281436,4.238235649427481e-05,0.00011818938439289665,0.6414030184522895,4.18865953207016,4.91376669406891,0.14756646115778754,0.27451687273823555,0.12128905540617059,1.2633276499593342,2.4554123788177353,3.543156290020158,0.30699856911935264,0.8015355656906739,True
