target,growth_group_count,mae_nm,median_absolute_error_nm,rmse_nm,pearson_r,pearson_p,spearman_rho,spearman_p,confidence_vs_absolute_error_spearman,confidence_vs_absolute_error_p,aurc_nm,risk_at_25pct_coverage_nm,risk_at_50pct_coverage_nm,risk_at_75pct_coverage_nm,interval_coverage,model,method
Rq_nm,27,1.7316666687505018,1.2394254740284931,2.442906362900927,-0.1795718537337575,0.370120969181087,-0.27472527472527475,0.16549648175108947,0.14490998280899378,0.47080816739406156,2.3213355381263874,2.071942727592647,2.0806997425532994,1.8805602846463298,0.8888888888888888,M14b physics,M14b_rheed_density_weighted
Rq_nm,27,1.3755343118811323,1.0464106898751342,2.02046673774831,0.4554787290972431,0.016964794426884963,0.3028083028083028,0.12471331819449352,0.16172443229105002,0.4202966223457827,1.2614972192087788,1.0344077763697115,1.2241576094299744,1.6239806323087496,0.8888888888888888,M14g mixed,M14g_multiview_curated60_r3d40
Rq_nm,27,1.2804793093742703,0.9917753964943996,1.6065457164278039,0.685437074633742,7.966182517701066e-05,0.553113553113553,0.0027678147583371,-0.21728102214146872,0.27629804713364753,1.0159518836650272,0.9702833240202091,1.028704950974196,1.2935074475428487,0.8888888888888888,M14d causal R3D / old confidence,M14d_r3d_causal_temporal
Rq_nm,27,1.2804793093742703,0.9917753964943996,1.6065457164278039,0.685437074633742,7.966182517701066e-05,0.553113553113553,0.0027678147583371,-0.07129764325030095,0.7237935778960085,1.2576807593440722,1.3039246323391116,1.1307609474067,1.1465808993692426,0.8888888888888888,M15a causal R3D / TTA centrality,M15a
Rq_nm,27,1.2804793093742703,0.9917753964943996,1.6065457164278039,0.685437074633742,7.966182517701066e-05,0.553113553113553,0.0027678147583371,-0.530911317435719,0.004382303459715003,0.9460239306981647,0.9304193593011922,0.8722649703904911,1.039462846273079,0.8888888888888888,M15b causal R3D / angular TTA,M15b
FSMI_nm,27,1.5690486976257556,1.0957364522034831,2.2055978717908316,-0.1812547955952868,0.36557767933100244,-0.25579975579975583,0.19780434070931038,0.08040625395630621,0.6901291194520883,1.958257859101655,1.7778645778312598,1.884077687004225,1.6752058673066328,0.9259259259259259,M14b physics,M14b_rheed_density_weighted
FSMI_nm,27,1.2408858866977803,0.875838030738556,1.8230879068857997,0.41232480936722216,0.032578072713614376,0.25457875457875456,0.20002749120433833,0.19504761399185236,0.3295868878901884,1.1842600279730875,1.0475217465354683,0.9913431143686852,1.4698190724104003,0.8888888888888888,M14g mixed,M14g_multiview_curated60_r3d40
FSMI_nm,27,1.1262497800168667,0.8486075120171712,1.447721515900082,0.6748175206428018,0.00011299193066713884,0.583028083028083,0.0014147195371195067,-0.17922615385680468,0.3710582821924398,1.0307977753733701,0.9044999869336504,0.8673938017363109,1.1362985524257603,0.9259259259259259,M14d causal R3D / old confidence,M14d_r3d_causal_temporal
FSMI_nm,27,1.1262497800168667,0.8486075120171712,1.447721515900082,0.6748175206428018,0.00011299193066713884,0.583028083028083,0.0014147195371195067,-0.13610114281129856,0.49847016150988854,1.0312227641560734,0.9761799344842318,0.9702816751416139,0.9910534972002044,0.8888888888888888,M15a causal R3D / TTA centrality,M15a
FSMI_nm,27,1.1262497800168667,0.8486075120171712,1.447721515900082,0.6748175206428018,0.00011299193066713884,0.583028083028083,0.0014147195371195067,-0.48213742705611273,0.010872844372743617,0.8587442805925045,0.8450481666478952,0.7755790783918634,0.9500215169008482,0.8888888888888888,M15b causal R3D / angular TTA,M15b
