alpha,loo_mae_z,loo_rmse_z
1.0,0.2894684283311334,0.3460083649907401
0.3,0.2903034355640362,0.34838791398761654
3.0,0.29041630278369307,0.34369515101819886
10.0,0.29603092304945533,0.3544513557829598
30.0,0.3192785790700869,0.3873441345319151
