growth_run_id,predicted_island_error_z,island_error_90_upper_z,realized_island_error_z,morphology_confidence_index,selected_nested_ridge_alpha,afm_prior_mahalanobis,max_training_ssim
6028,1.7637290643843309,2.3260729408404237,1.7832013362794714,25.0,3.0,7.457820362738382,0.0434040485962719
6029,1.3712633531786989,1.9133895280168143,0.9579054508618376,87.5,3.0,4.405958222380727,0.0337672556591861
6047,1.5980680428326375,2.1462486386708752,1.5142667220499186,56.25,1.0,6.438357459868581,0.0409727791591601
6048,1.5917267736963945,2.1435206468032164,1.4080572091098398,62.5,3.0,7.45055448313679,0.0613569493868948
6057,1.087506993829367,1.6764446303318379,1.3558435931551114,100.0,0.3,5.7633150286916575,0.057170084010267
6062,1.7109721158131186,2.273211357864028,2.257350505005824,43.75,3.0,6.724992598872404,0.031396854092522
6063,1.3981766800155748,1.9555465238577634,1.5062234338336382,81.25,1.0,5.357129020287905,0.0366346362639499
6070,1.4012114682895311,1.9358142172440664,1.006486222230583,75.0,3.0,5.409133248246235,0.0429624858711989
6072,1.5751390046757496,2.1238953174182424,2.124986673320159,68.75,0.3,6.662205797044684,0.0426445204631217
6078,1.289226071187307,1.8727077522703666,0.8747076677907043,93.75,10.0,3.9756381150957902,0.0422638276253452
6082,1.7210646841976798,2.2803481001709534,1.8332602581710316,37.5,1.0,6.4119768883963575,0.0310822475417652
6084,1.657849386496959,2.2201209850793346,1.861034492796102,50.0,1.0,6.109916942951387,0.029734621959782
6085,1.9468819256340852,2.4725966608618783,1.607749235974171,18.75,0.3,7.340818148179296,0.0351341116789902
6090,2.2406150789494315,2.7304191456261813,1.4846094086208097,12.5,0.3,7.834638718692623,0.0322514053478748
6095,1.7335555365199993,2.331110386568241,2.1769732876465184,31.25,10.0,7.223645556087656,0.0321071881696568
