target,method,growth_group_count,mae,median_absolute_error,rmse,pearson_r,pearson_p,spearman_rho,spearman_p,confidence_vs_absolute_error_spearman,confidence_vs_absolute_error_p,interval_coverage,mean_interval_width,prediction_min,prediction_max,truth_min,truth_max
FSMI_nm,M14b_rheed_density_weighted,23,1.3159379293145927,0.7712581562654957,2.0663606805589807,0.28063744435662447,0.19460157238949266,0.4298418972332016,0.04064697629864635,-0.663488802697037,0.0005578180170073654,0.8695652173913043,5.824885150895263,1.1686025388950836,6.045022237330305,0.8380821497217993,9.324230493376989
FSMI_nm,M14h_nested_support_aware_selector,23,1.367371959192949,0.7775989085108765,2.1342271723212938,0.2472912225175885,0.25528359686587887,0.4575098814229249,0.028159575196551725,-0.6810168674147522,0.000347388361846361,0.8695652173913043,5.8849262387062415,1.1686025388950836,7.023829811615885,0.8380821497217993,9.324230493376989
FSMI_nm,M14c_residual_self_paced,23,1.3685801595457416,0.7026205308160474,2.1088138880471488,0.20343100565560823,0.3518533382445981,0.30138339920948615,0.16225571581325915,-0.5598338560125199,0.0054713889654740165,0.8695652173913043,6.2006908687152125,1.707835534323096,5.370743029263519,0.8380821497217993,9.324230493376989
FSMI_nm,M14g_multiview_curated60_r3d40,23,1.42235568062552,1.0781581882494402,1.9754040455560982,0.3695676115611606,0.08263474431487831,0.4140316205533597,0.049523231321011316,-0.46226281253605217,0.026362699675946365,0.8695652173913043,5.687865370437061,0.37618392288274916,6.273795210431455,0.8380821497217993,9.324230493376989
FSMI_nm,M14f_multiview_curated40_r3d60,23,1.4234959637160929,1.230475462483533,1.9192333253494938,0.4229573891633432,0.04434432782645102,0.24110671936758896,0.2677434206454534,-0.38921782370394237,0.06640422936340999,0.8695652173913043,5.920338850919823,0.629868003813219,5.929369532890004,0.8380821497217993,9.324230493376989
FSMI_nm,M14e_multiview_curated20_r3d80,23,1.4401180874762352,1.1276774482472973,1.8808694772801797,0.459166788013764,0.027522406475258464,0.24308300395256918,0.263720491259165,-0.27458517699661694,0.20480902391485306,0.8695652173913043,6.233975696619218,1.0546269473384837,5.603852513245553,0.8380821497217993,9.324230493376989
FSMI_nm,M14a_regularized_alpha10,23,1.4690108829520963,0.8987774741434058,2.133922545478897,0.24732039843718734,0.2552257172855174,0.39624505928853754,0.061233333061790074,-0.652662645077272,0.0007363774919263338,0.8695652173913043,5.7328756491393955,0.13418426695106522,7.023829811615885,0.8380821497217993,9.324230493376989
FSMI_nm,M14d_r3d_causal_temporal,23,1.4924290651111753,1.3000408981073392,1.8670458423132799,0.4685403259024442,0.024131264507494074,0.18379446640316205,0.40120109039639607,-0.17754730862111345,0.41766893794539933,0.8695652173913043,6.616967324404089,1.5645727713257476,5.296206083297093,0.8380821497217993,9.324230493376989
FSMI_nm,M12a_frozen_alpha1,23,1.7480819285347646,0.9787549067821608,2.352490931470062,0.15802735810837595,0.4714307082010346,0.23715415019762848,0.27590585852781313,-0.5369104845650827,0.008251229051090646,0.8260869565217391,6.208227096785285,0.0017305625895938143,7.397084656583751,0.8380821497217993,9.324230493376989
Rq_nm,M14f_multiview_curated40_r3d60,23,1.4612446385708133,1.2655673538627283,1.9809163435981398,0.5653160584897816,0.004938037852913702,0.4041501976284585,0.05579175689820344,-0.38388607269429936,0.07054476541558612,0.8695652173913043,7.361472480274836,0.9502714058795491,6.725883979712066,1.2270276091477796,10.321437835693361
