target,method,coverage,retained_growth_group_count,mae,median_absolute_error,pearson_r,retained_growth_run_ids
FSMI_nm,M12a_frozen_alpha1,1.0,23,1.7480819285347646,0.9787549067821608,0.15802735810837595,6029;6048;6056;6057;6062;6078;6081;6084;6101;6047;6082;6095;6063;6070;6080;6072;6028;6033;6085;6094;6099;6090;6022
FSMI_nm,M12a_frozen_alpha1,0.9130434782608695,21,1.5962070654662828,0.8870849791963857,0.2261695563153363,6029;6048;6056;6057;6062;6078;6081;6084;6101;6047;6082;6095;6063;6070;6080;6072;6028;6033;6085;6094;6099
FSMI_nm,M12a_frozen_alpha1,0.8260869565217391,19,1.410879342369963,0.8870849791963857,0.2739019836296251,6029;6048;6056;6057;6062;6078;6081;6084;6101;6047;6082;6095;6063;6070;6080;6072;6028;6033;6085
FSMI_nm,M12a_frozen_alpha1,0.7391304347826086,17,1.2539005012091247,0.8363515871322055,0.42199484857539143,6029;6048;6056;6057;6062;6078;6081;6084;6101;6047;6082;6095;6063;6070;6080;6072;6028
FSMI_nm,M12a_frozen_alpha1,0.6086956521739131,14,1.283728625159996,0.7801437143563272,0.38682696646977355,6029;6048;6056;6057;6062;6078;6081;6084;6101;6047;6082;6095;6063;6070
FSMI_nm,M12a_frozen_alpha1,0.5217391304347826,12,1.1131478005983417,0.7178365903595254,0.5181355647085322,6029;6048;6056;6057;6062;6078;6081;6084;6101;6047;6082;6095
FSMI_nm,M14a_regularized_alpha10,1.0,23,1.4690108829520965,0.8987774741434058,0.2473203984371874,6029;6048;6056;6057;6062;6070;6078;6081;6084;6101;6033;6028;6047;6082;6095;6063;6085;6080;6072;6094;6099;6090;6022
FSMI_nm,M14a_regularized_alpha10,0.9130434782608695,21,1.3334783079971093,0.8553220897627152,0.4077402113199462,6029;6048;6056;6057;6062;6070;6078;6081;6084;6101;6033;6028;6047;6082;6095;6063;6085;6080;6072;6094;6099
FSMI_nm,M14a_regularized_alpha10,0.8260869565217391,19,1.0976152620096813,0.8553220897627152,0.5169844563110579,6029;6048;6056;6057;6062;6070;6078;6081;6084;6101;6033;6028;6047;6082;6095;6063;6085;6080;6072
FSMI_nm,M14a_regularized_alpha10,0.7391304347826086,17,1.0852475249471927,0.8507130490336454,0.5287782264556286,6029;6048;6056;6057;6062;6070;6078;6081;6084;6101;6033;6028;6047;6082;6095;6063;6085
FSMI_nm,M14a_regularized_alpha10,0.6086956521739131,14,0.7120329571263536,0.728350822061503,0.658093659313212,6029;6048;6056;6057;6062;6070;6078;6081;6084;6101;6033;6028;6047;6082
FSMI_nm,M14a_regularized_alpha10,0.5217391304347826,12,0.7343184969258952,0.728350822061503,0.6554360475037329,6029;6048;6056;6057;6062;6070;6078;6081;6084;6101;6033;6028
FSMI_nm,M14b_rheed_density_weighted,1.0,23,1.3159379293145927,0.7712581562654957,0.2806374443566244,6029;6033;6048;6056;6062;6070;6078;6081;6084;6101;6057;6047;6095;6082;6063;6028;6085;6080;6072;6094;6090;6099;6022
FSMI_nm,M14b_rheed_density_weighted,0.9130434782608695,21,1.0431772212393609,0.7386696425568213,0.40390776206762863,6029;6033;6048;6056;6062;6070;6078;6081;6084;6101;6057;6047;6095;6082;6063;6028;6085;6080;6072;6094;6090
FSMI_nm,M14b_rheed_density_weighted,0.8260869565217391,19,0.9630516781153048,0.6076870486273498,0.5405276854143237,6029;6033;6048;6056;6062;6070;6078;6081;6084;6101;6057;6047;6095;6082;6063;6028;6085;6080;6072
FSMI_nm,M14b_rheed_density_weighted,0.7391304347826086,17,0.9505921577034139,0.5632142284775394,0.543987034297138,6029;6033;6048;6056;6062;6070;6078;6081;6084;6101;6057;6047;6095;6082;6063;6028;6085
FSMI_nm,M14b_rheed_density_weighted,0.6086956521739131,14,0.8097619331810008,0.37280869179800386,0.666025763072384,6029;6033;6048;6056;6062;6070;6078;6081;6084;6101;6057;6047;6095;6082
FSMI_nm,M14b_rheed_density_weighted,0.5217391304347826,12,0.4741056588493781,0.3301543691641801,0.7414953614447666,6029;6033;6048;6056;6062;6070;6078;6081;6084;6101;6057;6047
FSMI_nm,M14c_residual_self_paced,1.0,23,1.3685801595457416,0.7026205308160474,0.20343100565560823,6028;6029;6033;6048;6056;6057;6062;6070;6078;6081;6084;6101;6047;6095;6082;6063;6085;6080;6072;6090;6094;6099;6022
