trial_id,sample_id,track,method,method_family,heldout_source_contribution,exact_identity,maximum_ssim_to_any_source,largest_single_source_contribution
visual_trial_0006_strict_VB1_s2_q50,6022,strict,VB1,retrieval,0.0,False,0.9999999999999826,1.0
visual_trial_0006_strict_VB1_s2_q50,6028,strict,VB1,retrieval,0.0,False,0.999999999999998,1.0
visual_trial_0006_strict_VB1_s2_q50,6029,strict,VB1,retrieval,0.0,False,0.9999999999999932,1.0
visual_trial_0006_strict_VB1_s2_q50,6033,strict,VB1,retrieval,0.0,False,0.9999999999999912,1.0
visual_trial_0006_strict_VB1_s2_q50,6047,strict,VB1,retrieval,0.0,False,0.9999999999999952,1.0
visual_trial_0006_strict_VB1_s2_q50,6048,strict,VB1,retrieval,0.0,False,0.9999999999999926,1.0
visual_trial_0006_strict_VB1_s2_q50,6056,strict,VB1,retrieval,0.0,False,0.999999999999977,1.0
visual_trial_0006_strict_VB1_s2_q50,6057,strict,VB1,retrieval,0.0,False,0.9999999999999702,1.0
visual_trial_0006_strict_VB1_s2_q50,6062,strict,VB1,retrieval,0.0,False,0.9999999999999756,1.0
visual_trial_0006_strict_VB1_s2_q50,6063,strict,VB1,retrieval,0.0,False,0.9999999999999836,1.0
visual_trial_0006_strict_VB1_s2_q50,6070,strict,VB1,retrieval,0.0,False,0.9999999999999812,1.0
visual_trial_0006_strict_VB1_s2_q50,6072,strict,VB1,retrieval,0.0,False,0.999999999999973,1.0
visual_trial_0006_strict_VB1_s2_q50,6078,strict,VB1,retrieval,0.0,False,0.9999999999999882,1.0
visual_trial_0006_strict_VB1_s2_q50,6080,strict,VB1,retrieval,0.0,False,0.9999999999999898,1.0
visual_trial_0006_strict_VB1_s2_q50,6081,strict,VB1,retrieval,0.0,False,0.9999999999999858,1.0
visual_trial_0006_strict_VB1_s2_q50,6082,strict,VB1,retrieval,0.0,False,0.9999999999999852,1.0
visual_trial_0006_strict_VB1_s2_q50,6084,strict,VB1,retrieval,0.0,False,0.999999999999994,1.0
visual_trial_0006_strict_VB1_s2_q50,6085,strict,VB1,retrieval,0.0,False,0.9999999999999932,1.0
visual_trial_0006_strict_VB1_s2_q50,6090,strict,VB1,retrieval,0.0,False,0.9999999999999932,1.0
visual_trial_0006_strict_VB1_s2_q50,6094,strict,VB1,retrieval,0.0,False,0.9999999999999712,1.0
visual_trial_0006_strict_VB1_s2_q50,6095,strict,VB1,retrieval,0.0,False,0.999999999999978,1.0
visual_trial_0006_strict_VB1_s2_q50,6099,strict,VB1,retrieval,0.0,False,0.9999999999999992,1.0
visual_trial_0006_strict_VB1_s2_q50,6101,strict,VB1,retrieval,0.0,False,0.999999999999988,1.0
visual_trial_0007_strict_VB2_s0_q50,6022,strict,VB2,quilting,0.0,False,0.1142121984169349,0.3950617283950617
visual_trial_0007_strict_VB2_s0_q50,6028,strict,VB2,quilting,0.0,False,0.161210032731833,0.3703703703703703
visual_trial_0007_strict_VB2_s0_q50,6029,strict,VB2,quilting,0.0,False,0.1132102503955727,0.3950617283950617
visual_trial_0007_strict_VB2_s0_q50,6033,strict,VB2,quilting,0.0,False,0.1206641294337422,0.3703703703703703
visual_trial_0007_strict_VB2_s0_q50,6047,strict,VB2,quilting,0.0,False,0.116831115953901,0.3580246913580246
visual_trial_0007_strict_VB2_s0_q50,6048,strict,VB2,quilting,0.0,False,0.115936439650878,0.3703703703703703
visual_trial_0007_strict_VB2_s0_q50,6056,strict,VB2,quilting,0.0,False,0.0885962128317381,0.3703703703703703
visual_trial_0007_strict_VB2_s0_q50,6057,strict,VB2,quilting,0.0,False,0.0859005652295555,0.4320987654320987
visual_trial_0007_strict_VB2_s0_q50,6062,strict,VB2,quilting,0.0,False,0.114961807562866,0.3950617283950617
visual_trial_0007_strict_VB2_s0_q50,6063,strict,VB2,quilting,0.0,False,0.1257729710132306,0.3580246913580246
visual_trial_0007_strict_VB2_s0_q50,6070,strict,VB2,quilting,0.0,False,0.1183510767979915,0.345679012345679
visual_trial_0007_strict_VB2_s0_q50,6072,strict,VB2,quilting,0.0,False,0.1126133665190186,0.419753086419753
visual_trial_0007_strict_VB2_s0_q50,6078,strict,VB2,quilting,0.0,False,0.1000832004862903,0.4074074074074074
visual_trial_0007_strict_VB2_s0_q50,6080,strict,VB2,quilting,0.0,False,0.1117671735101019,0.3703703703703703
visual_trial_0007_strict_VB2_s0_q50,6081,strict,VB2,quilting,0.0,False,0.0826917161839416,0.3950617283950617
visual_trial_0007_strict_VB2_s0_q50,6082,strict,VB2,quilting,0.0,False,0.153745603352724,0.3703703703703703
visual_trial_0007_strict_VB2_s0_q50,6084,strict,VB2,quilting,0.0,False,0.1037432346003841,0.345679012345679
visual_trial_0007_strict_VB2_s0_q50,6085,strict,VB2,quilting,0.0,False,0.1424949446755765,0.3580246913580246
visual_trial_0007_strict_VB2_s0_q50,6090,strict,VB2,quilting,0.0,False,0.1178112091635951,0.3703703703703703
visual_trial_0007_strict_VB2_s0_q50,6094,strict,VB2,quilting,0.0,False,0.103354930961879,0.4320987654320987
visual_trial_0007_strict_VB2_s0_q50,6095,strict,VB2,quilting,0.0,False,0.1245930070490101,0.3580246913580246
visual_trial_0007_strict_VB2_s0_q50,6099,strict,VB2,quilting,0.0,False,0.1004704147427375,0.382716049382716
visual_trial_0007_strict_VB2_s0_q50,6101,strict,VB2,quilting,0.0,False,0.1017841734198717,0.419753086419753
visual_trial_0008_strict_VB2_s1_q50,6022,strict,VB2,quilting,0.0,False,0.1014653855038035,0.4074074074074074
visual_trial_0008_strict_VB2_s1_q50,6028,strict,VB2,quilting,0.0,False,0.1242629768079923,0.3950617283950617
visual_trial_0008_strict_VB2_s1_q50,6029,strict,VB2,quilting,0.0,False,0.1136279973566163,0.3580246913580246
visual_trial_0008_strict_VB2_s1_q50,6033,strict,VB2,quilting,0.0,False,0.1183239555413632,0.3703703703703703
visual_trial_0008_strict_VB2_s1_q50,6047,strict,VB2,quilting,0.0,False,0.1245924187614729,0.3703703703703703
visual_trial_0008_strict_VB2_s1_q50,6048,strict,VB2,quilting,0.0,False,0.1000526292074479,0.382716049382716
visual_trial_0008_strict_VB2_s1_q50,6056,strict,VB2,quilting,0.0,False,0.0994681779327849,0.4320987654320987
visual_trial_0008_strict_VB2_s1_q50,6057,strict,VB2,quilting,0.0,False,0.1097000870451177,0.4074074074074074
visual_trial_0008_strict_VB2_s1_q50,6062,strict,VB2,quilting,0.0,False,0.1176616584292723,0.3580246913580246
visual_trial_0008_strict_VB2_s1_q50,6063,strict,VB2,quilting,0.0,False,0.1323813009508577,0.4320987654320987
visual_trial_0008_strict_VB2_s1_q50,6070,strict,VB2,quilting,0.0,False,0.1153557319120077,0.3703703703703703
visual_trial_0008_strict_VB2_s1_q50,6072,strict,VB2,quilting,0.0,False,0.1245306156526966,0.3703703703703703
visual_trial_0008_strict_VB2_s1_q50,6078,strict,VB2,quilting,0.0,False,0.126601588812441,0.382716049382716
visual_trial_0008_strict_VB2_s1_q50,6080,strict,VB2,quilting,0.0,False,0.1124657564140029,0.3950617283950617
visual_trial_0008_strict_VB2_s1_q50,6081,strict,VB2,quilting,0.0,False,0.1060986050615161,0.3703703703703703
visual_trial_0008_strict_VB2_s1_q50,6082,strict,VB2,quilting,0.0,False,0.1103043666299439,0.3580246913580246
visual_trial_0008_strict_VB2_s1_q50,6084,strict,VB2,quilting,0.0,False,0.1133718699685001,0.3580246913580246
visual_trial_0008_strict_VB2_s1_q50,6085,strict,VB2,quilting,0.0,False,0.1412940747292206,0.3703703703703703
visual_trial_0008_strict_VB2_s1_q50,6090,strict,VB2,quilting,0.0,False,0.1126001666408293,0.3703703703703703
visual_trial_0008_strict_VB2_s1_q50,6094,strict,VB2,quilting,0.0,False,0.1319067562912303,0.3580246913580246
visual_trial_0008_strict_VB2_s1_q50,6095,strict,VB2,quilting,0.0,False,0.1297980942486438,0.3950617283950617
visual_trial_0008_strict_VB2_s1_q50,6099,strict,VB2,quilting,0.0,False,0.1112836742507257,0.4320987654320987
visual_trial_0008_strict_VB2_s1_q50,6101,strict,VB2,quilting,0.0,False,0.11089643560923,0.3703703703703703
visual_trial_0009_strict_VB2_s2_q50,6022,strict,VB2,quilting,0.0,False,0.1191254621553283,0.3580246913580246
visual_trial_0009_strict_VB2_s2_q50,6028,strict,VB2,quilting,0.0,False,0.1120534113389436,0.3580246913580246
visual_trial_0009_strict_VB2_s2_q50,6029,strict,VB2,quilting,0.0,False,0.1018177201055257,0.3950617283950617
visual_trial_0009_strict_VB2_s2_q50,6033,strict,VB2,quilting,0.0,False,0.1454149923508201,0.382716049382716
visual_trial_0009_strict_VB2_s2_q50,6047,strict,VB2,quilting,0.0,False,0.1188846043113545,0.382716049382716
visual_trial_0009_strict_VB2_s2_q50,6048,strict,VB2,quilting,0.0,False,0.0978305464246128,0.3580246913580246
visual_trial_0009_strict_VB2_s2_q50,6056,strict,VB2,quilting,0.0,False,0.0933703033644405,0.4074074074074074
visual_trial_0009_strict_VB2_s2_q50,6057,strict,VB2,quilting,0.0,False,0.1253500919513811,0.3580246913580246
visual_trial_0009_strict_VB2_s2_q50,6062,strict,VB2,quilting,0.0,False,0.0907365279092149,0.4320987654320987
visual_trial_0009_strict_VB2_s2_q50,6063,strict,VB2,quilting,0.0,False,0.1327361800966334,0.4567901234567901
visual_trial_0009_strict_VB2_s2_q50,6070,strict,VB2,quilting,0.0,False,0.1228410452652739,0.419753086419753
visual_trial_0009_strict_VB2_s2_q50,6072,strict,VB2,quilting,0.0,False,0.1395113717361542,0.4074074074074074
visual_trial_0009_strict_VB2_s2_q50,6078,strict,VB2,quilting,0.0,False,0.1203520764893647,0.3703703703703703
visual_trial_0009_strict_VB2_s2_q50,6080,strict,VB2,quilting,0.0,False,0.1262440024147329,0.3703703703703703
visual_trial_0009_strict_VB2_s2_q50,6081,strict,VB2,quilting,0.0,False,0.0877337650888009,0.3580246913580246
visual_trial_0009_strict_VB2_s2_q50,6082,strict,VB2,quilting,0.0,False,0.1167380769661381,0.345679012345679
visual_trial_0009_strict_VB2_s2_q50,6084,strict,VB2,quilting,0.0,False,0.1049041697793906,0.3703703703703703
visual_trial_0009_strict_VB2_s2_q50,6085,strict,VB2,quilting,0.0,False,0.1453032728971211,0.419753086419753
visual_trial_0009_strict_VB2_s2_q50,6090,strict,VB2,quilting,0.0,False,0.123203320183119,0.4567901234567901
visual_trial_0009_strict_VB2_s2_q50,6094,strict,VB2,quilting,0.0,False,0.1296027449569659,0.3950617283950617
visual_trial_0009_strict_VB2_s2_q50,6095,strict,VB2,quilting,0.0,False,0.1093591231930779,0.3950617283950617
visual_trial_0009_strict_VB2_s2_q50,6099,strict,VB2,quilting,0.0,False,0.0956654168400512,0.419753086419753
visual_trial_0009_strict_VB2_s2_q50,6101,strict,VB2,quilting,0.0,False,0.0874882108094074,0.3580246913580246
visual_trial_0010_strict_A1_s0_q50,6022,strict,A1,retrieval,0.0,False,0.9999999999999885,1.0
visual_trial_0010_strict_A1_s0_q50,6028,strict,A1,retrieval,0.0,False,0.999999999999998,1.0
visual_trial_0010_strict_A1_s0_q50,6029,strict,A1,retrieval,0.0,False,0.9999999999999876,1.0
visual_trial_0010_strict_A1_s0_q50,6033,strict,A1,retrieval,0.0,False,0.99999999999999,1.0
visual_trial_0010_strict_A1_s0_q50,6047,strict,A1,retrieval,0.0,False,0.999999999999974,1.0
visual_trial_0010_strict_A1_s0_q50,6048,strict,A1,retrieval,0.0,False,0.9999999999999796,1.0
visual_trial_0010_strict_A1_s0_q50,6056,strict,A1,retrieval,0.0,False,0.999999999999982,1.0
visual_trial_0010_strict_A1_s0_q50,6057,strict,A1,retrieval,0.0,False,0.9999999999999702,1.0
visual_trial_0010_strict_A1_s0_q50,6062,strict,A1,retrieval,0.0,False,0.9999999999999766,1.0
visual_trial_0010_strict_A1_s0_q50,6063,strict,A1,retrieval,0.0,False,0.9999999999999882,1.0
visual_trial_0010_strict_A1_s0_q50,6070,strict,A1,retrieval,0.0,False,0.99999999999999,1.0
visual_trial_0010_strict_A1_s0_q50,6072,strict,A1,retrieval,0.0,False,0.9999999999999908,1.0
visual_trial_0010_strict_A1_s0_q50,6078,strict,A1,retrieval,0.0,False,0.9999999999999912,1.0
visual_trial_0010_strict_A1_s0_q50,6080,strict,A1,retrieval,0.0,False,0.9999999999999898,1.0
visual_trial_0010_strict_A1_s0_q50,6081,strict,A1,retrieval,0.0,False,0.999999999999978,1.0
visual_trial_0010_strict_A1_s0_q50,6082,strict,A1,retrieval,0.0,False,0.999999999999976,1.0
visual_trial_0010_strict_A1_s0_q50,6084,strict,A1,retrieval,0.0,False,0.9999999999999826,1.0
visual_trial_0010_strict_A1_s0_q50,6085,strict,A1,retrieval,0.0,False,0.9999999999999918,1.0
visual_trial_0010_strict_A1_s0_q50,6090,strict,A1,retrieval,0.0,False,0.9999999999999916,1.0
visual_trial_0010_strict_A1_s0_q50,6094,strict,A1,retrieval,0.0,False,0.9999999999999986,1.0
visual_trial_0010_strict_A1_s0_q50,6095,strict,A1,retrieval,0.0,False,0.9999999999999984,1.0
visual_trial_0010_strict_A1_s0_q50,6099,strict,A1,retrieval,0.0,False,0.999999999999978,1.0
visual_trial_0010_strict_A1_s0_q50,6101,strict,A1,retrieval,0.0,False,0.999999999999988,1.0
visual_trial_0011_strict_A1_s1_q50,6022,strict,A1,retrieval,0.0,False,0.9999999999999885,1.0
visual_trial_0011_strict_A1_s1_q50,6028,strict,A1,retrieval,0.0,False,0.999999999999998,1.0
visual_trial_0011_strict_A1_s1_q50,6029,strict,A1,retrieval,0.0,False,0.9999999999999876,1.0
visual_trial_0011_strict_A1_s1_q50,6033,strict,A1,retrieval,0.0,False,0.99999999999999,1.0
visual_trial_0011_strict_A1_s1_q50,6047,strict,A1,retrieval,0.0,False,0.999999999999974,1.0
visual_trial_0011_strict_A1_s1_q50,6048,strict,A1,retrieval,0.0,False,0.9999999999999796,1.0
visual_trial_0011_strict_A1_s1_q50,6056,strict,A1,retrieval,0.0,False,0.999999999999982,1.0
visual_trial_0011_strict_A1_s1_q50,6057,strict,A1,retrieval,0.0,False,0.9999999999999702,1.0
visual_trial_0011_strict_A1_s1_q50,6062,strict,A1,retrieval,0.0,False,0.9999999999999766,1.0
visual_trial_0011_strict_A1_s1_q50,6063,strict,A1,retrieval,0.0,False,0.9999999999999882,1.0
visual_trial_0011_strict_A1_s1_q50,6070,strict,A1,retrieval,0.0,False,0.99999999999999,1.0
visual_trial_0011_strict_A1_s1_q50,6072,strict,A1,retrieval,0.0,False,0.9999999999999908,1.0
visual_trial_0011_strict_A1_s1_q50,6078,strict,A1,retrieval,0.0,False,0.9999999999999912,1.0
