sample_id,method,source_sample_ids,source_scan_ids,source_afm_paths,heldout_source_contribution,map_path
6070,A2,"['6056', '6057', '6072', '6022', '6047']","['GdSb_N6056_ctr_013', 'GdSb_N6057_edge_014', '6072_500_nm_004', 'N6022_Ctr_000', 'N6047_1um_008']","['data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6057/GdSb_N6057_edge_014/GdSb_N6057_edge_014_height.npy', 'data/afm_second_order/6072/6072_500_nm_004/6072_500_nm_004_height.npy', 'data/afm_second_order/6022/N6022_Ctr_000/N6022_Ctr_000_height.npy', 'data/afm_second_order/6047/N6047_1um_008/N6047_1um_008_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A2/6070__A2__seed0__q90.npy
6072,A2,"['6056', '6084', '6048', '6022', '6082']","['GdSb_N6056_ctr_013', 'N6084_1um_006', 'N6048_1um_027', 'N6022_Ctr_000', 'N6082_1um_001']","['data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6084/N6084_1um_006/N6084_1um_006_height.npy', 'data/afm_second_order/6048/N6048_1um_027/N6048_1um_027_height.npy', 'data/afm_second_order/6022/N6022_Ctr_000/N6022_Ctr_000_height.npy', 'data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A2/6072__A2__seed0__q50.npy
6078,A2,"['6084', '6082', '6048', '6022', '6033']","['N6084_1um_006', 'N6082_1um_001', 'N6048_1um_027', 'N6022_Ctr_000', 'N6033_1um_016']","['data/afm_second_order/6084/N6084_1um_006/N6084_1um_006_height.npy', 'data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy', 'data/afm_second_order/6048/N6048_1um_027/N6048_1um_027_height.npy', 'data/afm_second_order/6022/N6022_Ctr_000/N6022_Ctr_000_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A2/6078__A2__seed0__q10.npy
6080,C1,"['6078', '6072', '6022', '6056', '6048']","['N78_Ctr_000', '6072_500_nm_004', 'N6022_Ctr_000', 'GdSb_N6056_ctr_013', 'N6048_1um_027']","['data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy', 'data/afm_second_order/6072/6072_500_nm_004/6072_500_nm_004_height.npy', 'data/afm_second_order/6022/N6022_Ctr_000/N6022_Ctr_000_height.npy', 'data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6048/N6048_1um_027/N6048_1um_027_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/C1/6080__C1__seed1__q50.npy
6081,A1,"['6085', '6070', '6056', '6090', '6029']","['N6085_1um_000', 'N69_Edg_002', 'GdSb_N6056_ctr_013', 'N6090_1um_001', 'N6029_1um_008']","['data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy', 'data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy', 'data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy', 'data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A1/6081__A1__seed0__q50.npy
6082,A2,"['6029', '6085', '6048', '6094', '6078']","['N6029_1um_008', 'N6085_1um_000', 'N6048_1um_027', 'N6094_150nm_002', 'N78_Ctr_000']","['data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy', 'data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy', 'data/afm_second_order/6048/N6048_1um_027/N6048_1um_027_height.npy', 'data/afm_second_order/6094/N6094_150nm_002/N6094_150nm_002_height.npy', 'data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A2/6082__A2__seed0__q10.npy
6084,A2,"['6048', '6033', '6029', '6082', '6085']","['N6048_1um_027', 'N6033_1um_016', 'N6029_1um_008', 'N6082_1um_001', 'N6085_1um_000']","['data/afm_second_order/6048/N6048_1um_027/N6048_1um_027_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy', 'data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy', 'data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy', 'data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A2/6084__A2__seed0__q10.npy
6085,A1,"['6029', '6070', '6056', '6033', '6090']","['N6029_1um_008', 'N69_Edg_002', 'GdSb_N6056_ctr_013', 'N6033_1um_016', 'N6090_1um_001']","['data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy', 'data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy', 'data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy', 'data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A1/6085__A1__seed0__q50.npy
6090,A2,"['6082', '6084', '6048', '6033', '6085']","['N6082_1um_001', 'N6084_1um_006', 'N6048_1um_027', 'N6033_1um_016', 'N6085_1um_000']","['data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy', 'data/afm_second_order/6084/N6084_1um_006/N6084_1um_006_height.npy', 'data/afm_second_order/6048/N6048_1um_027/N6048_1um_027_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy', 'data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A2/6090__A2__seed0__q10.npy
6094,A1,"['6080', '6062', '6090', '6056', '6070']","['N80_Ctr_000', 'N62_Ctr_001', 'N6090_1um_001', 'GdSb_N6056_ctr_013', 'N69_Edg_002']","['data/afm_second_order/6080/N80_Ctr_000/N80_Ctr_000_height.npy', 'data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy', 'data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy', 'data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A1/6094__A1__seed0__q50.npy
6095,A6,"['6090', '6085', '6047', '6028', '6063']","['N6090_1um_001', 'N6085_1um_000', 'N6047_1um_008', 'N6028_1um_003', 'N63_Ctr_002']","['data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy', 'data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy', 'data/afm_second_order/6047/N6047_1um_008/N6047_1um_008_height.npy', 'data/afm_second_order/6028/N6028_1um_003/N6028_1um_003_height.npy', 'data/afm_second_order/6063/N63_Ctr_002/N63_Ctr_002_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A6/6095__A6__seed0__q50.npy
6099,A4,"['6094', '6062', '6078', '6056', '6033']","['N6094_150nm_002', 'N62_Ctr_001', 'N78_Ctr_000', 'GdSb_N6056_ctr_013', 'N6033_1um_016']","['data/afm_second_order/6094/N6094_150nm_002/N6094_150nm_002_height.npy', 'data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy', 'data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy', 'data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A4/6099__A4__seed0__q50.npy
6101,G4,"['6070', '6072', '6056', '6047', '6078']","['N69_Edg_002', '6072_500_nm_004', 'GdSb_N6056_ctr_013', 'N6047_1um_008', 'N78_Ctr_000']","['data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy', 'data/afm_second_order/6072/6072_500_nm_004/6072_500_nm_004_height.npy', 'data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6047/N6047_1um_008/N6047_1um_008_height.npy', 'data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy']",0.0,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/G4/6101__G4__seed2__q90.npy
