row_id,pair_id,sample_id,mode,generated_index,generated_std,generated_min,generated_max,generated_rq,generated_ra,generated_psd_low_power,true_cond_rq,pred_cond_rq,true_cond_ra,pred_cond_ra
afm_00012_ea2686bd44,pair_00012,6058,oracle,0,0.1701515764,-0.6935094595,0.5835891366,0.1701515731,0.1283483604,6.209209419,1.306712508,-0.02638330311,1.192622185,-0.0238911286
afm_00012_ea2686bd44,pair_00012,6058,predicted,0,0.2002918869,-0.6925774813,0.6571275592,0.200291889,0.1550003926,6.009000244,1.306712508,-0.02638330311,1.192622185,-0.0238911286
afm_00012_ea2686bd44,pair_00012,6058,predicted,1,0.2106817514,-0.811154902,0.4787265956,0.2106817518,0.1573962384,6.183512943,1.306712508,-0.02638330311,1.192622185,-0.0238911286
afm_00012_ea2686bd44,pair_00012,6058,predicted,2,0.1757552326,-0.6857283711,0.5642896295,0.1757552408,0.1356905981,6.176981194,1.306712508,-0.02638330311,1.192622185,-0.0238911286
afm_00012_ea2686bd44,pair_00012,6058,predicted,3,0.2301443815,-0.8298985958,0.3863030374,0.2301443936,0.1866861111,6.27054164,1.306712508,-0.02638330311,1.192622185,-0.0238911286
afm_00013_d70a92b9a0,pair_00013,6062,oracle,0,0.2216061503,-0.9021486044,0.4441888332,0.2216061494,0.1634181546,6.243101985,-0.5032200813,-0.03728412464,-0.5473476052,-0.03415371105
afm_00013_d70a92b9a0,pair_00013,6062,predicted,0,0.2291390896,-0.8846441507,0.5223853588,0.2291390871,0.1768673478,6.256597986,-0.5032200813,-0.03728412464,-0.5473476052,-0.03415371105
afm_00013_d70a92b9a0,pair_00013,6062,predicted,1,0.2129520774,-0.7998124361,0.4730463028,0.2129520695,0.1573820652,6.068860226,-0.5032200813,-0.03728412464,-0.5473476052,-0.03415371105
afm_00013_d70a92b9a0,pair_00013,6062,predicted,2,0.2281575799,-0.7959241271,0.4698390067,0.2281575673,0.1870339463,6.275119699,-0.5032200813,-0.03728412464,-0.5473476052,-0.03415371105
afm_00013_d70a92b9a0,pair_00013,6062,predicted,3,0.2179284543,-0.7704954147,0.5147415996,0.2179284569,0.1690192204,6.227781312,-0.5032200813,-0.03728412464,-0.5473476052,-0.03415371105
