prior,row_id,candidate_index,scale_nm_per_unit,offset_nm,clamped,calibration_error,target_rq,before_rq,after_rq,target_ra,before_ra,after_ra,target_robust_range,before_robust_range,after_robust_range,rank
v2,afmv2_06e9a8457ab9,0,13.084045615445453,0.0,False,0.3397277878908274,5.841896534,0.6202464109287553,8.115332207201298,4.556092739,0.5445727532086162,7.125214632605566,27.66728783,1.9747326934337615,25.837491855621337,1
v2,afmv2_06e9a8457ab9,1,13.006108009317273,0.0,False,0.3524510817522777,5.841896534,0.6305515550911875,8.201021806789408,4.556092739,0.5548496803449527,7.216435026093306,27.66728783,1.9791627913713454,25.741205806732175,
v3,afmv2_06e9a8457ab9,0,16.944066053376048,0.0,False,0.021333391092658038,5.841896534,0.35110746329972103,5.949188379757571,4.556092739,0.2804645106008742,4.752209458134045,27.66728783,1.6286319178342819,27.59564863204956,
v3,afmv2_06e9a8457ab9,1,16.575948154672943,0.0,False,0.01847220724716468,5.841896534,0.3562479698297713,5.905148076402722,4.556092739,0.28654725718483487,4.749792638883176,27.66728783,1.66565910756588,27.609880495071415,1
v2,afmv2_84343ccdd8fc,0,12.707012832472666,0.0,False,0.35062053942977883,5.760004044,0.6348727679042411,8.06733659879761,4.460754871,0.555180660333579,7.054687940917228,27.0523243,1.9803668838739394,25.164547939300537,1
v2,afmv2_84343ccdd8fc,1,12.756746586589337,0.0,False,0.34866009354353333,5.760004044,0.6308406422360535,8.047474022169094,4.460754871,0.552378270876946,7.046549457690448,27.0523243,1.973936712741852,25.18100962638855,
v3,afmv2_84343ccdd8fc,0,16.67260812633474,0.0,False,0.044752982374890664,5.760004044,0.3602552579879271,6.00639448654171,4.460754871,0.29047091453491614,4.842907524316024,27.0523243,1.6131293034553527,26.89507164955139,
v3,afmv2_84343ccdd8fc,1,16.66572145746605,0.0,False,0.045224038097577905,5.760004044,0.36126105288800553,6.020676237885454,4.460754871,0.29027002218165787,4.83755946329072,27.0523243,1.6135805213451386,26.89148418426514,1
