target,growth_run_id,true_target,predicted_target,absolute_error,predicted_absolute_error,confidence,uncertainty_risk_score,new_diagnostic_risk,legacy_tta_head_risk,interval_lower,interval_upper,interval_radius,interval_covered,temporal_5_nm,temporal_8_nm,streak_expert_nm,streak_gate,rough_consensus_gate,streak_feature,streak_threshold,upper_threshold_nm,expert_log_range,nearest_embedding_distance,streak_robust_z,outer_target_used_for_training,outer_fit_growth_count,confidence_calibration_growth_count,method,confidence_method,base_endpoint_prediction_nm,rough_tail_rescue_activated,rough_tail_rescue_reason,selected_16__component_merge_rate_p97_to_p90_median,selected_16__component_count_p90_median,selected_16__round_component_fraction_p90_median,selected_16__component_area_q90_p90_median,m19_predicted_target_nm,spot_connectivity_gate,spot_connectivity_log_residual_correction,rheed_spot_isolation_score,isolated_spot_uplift_gate,isolated_spot_uncertainty_uplift_nm,connectivity_neighbor_growth_ids,connectivity_neighbor_distances
Rq_nm,6101,0.481030585526218,0.5666429826402098,0.0856123971139918,0.6822827916795492,0.755,0.245,0.7944444444444445,0.9074074074074074,0.0,2.3509176489720764,1.7842746663318667,True,1.245050259314829,0.9762073890046624,0.5666429826402098,True,False,2.403875331949659,1.8815992443504124,3.7820989161452134,0.7872017318496362,0.8977107990556376,3.907026877705347,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,0.5666429826402098,False,inactive,1.0,4.5,0.4,0.071776347257653,0.5666429826402098,False,0.2656258305449273,0.5369858906229248,False,0.0,6056|6072|6047,0.561363|0.703406|0.796753
Rq_nm,N6342,0.8041046683028141,0.8327786888639845,0.0286740205611704,0.5509248039383959,0.7867311592009927,0.2132688407990073,0.6888888888888889,0.1459983970039478,0.0,2.4032737943193023,1.5704951054553176,True,1.209896529623956,0.837245072124055,0.8327786888639845,True,False,2.0315242940529563,1.8815992443504124,3.7820989161452134,0.3735221949942087,1.5107343720175357,1.6838496100255145,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,0.8327786888639845,False,inactive,5.0,10.5,0.4807692307692308,0.0131367586096938,0.8327786888639845,False,0.1577664689280521,0.8459354837612586,False,0.0,6099|6063|6095,0.748615|2.44279|2.50918
Rq_nm,N6358,0.9793977637536512,0.8342641554266957,0.1451336083269554,0.3088903557329517,0.7890321223024067,0.2109678776975932,0.7759259259259259,0.3655959232531079,0.0,2.4959488131881584,1.6616846577614626,True,2.1262421673390404,2.8842860524868574,0.8342641554266957,True,False,1.9670480211439243,1.8815992443504124,3.7820989161452134,1.2404825941730928,1.0050224172082107,1.2988844302699345,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,0.8342641554266957,False,inactive,-1.5,3.0,0.25,0.093813775510204,0.8342641554266957,False,-0.2150707703524107,0.3743074230613476,False,0.0,6029|6082|6085,0.719595|0.817289|0.924253
Rq_nm,N6382,1.1125519221718976,0.8296865787219431,0.2828653434499545,9.70550842914219,0.1388888888888888,0.8611111111111112,0.8685185185185185,0.9444444444444444,0.0,4.591273397540963,3.76158681881902,True,0.5767057295474367,0.8296865787219431,2.25179044341611,False,False,1.608513222636065,1.9233575642345169,3.7820989161452134,1.36214879575546,3.2752830339799206,0.8793684518824232,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,0.8296865787219431,False,inactive,5.0,16.5,0.6614583333333333,0.0022092235331632,0.8296865787219431,False,0.2291058605726341,0.9545383212646076,False,0.0,N6390|N6342|6099,0.706636|3.30654|3.38145
Rq_nm,6084,1.3919808047665612,3.0027959743893105,1.6108151696227493,0.8613124971854931,0.6235533408627885,0.3764466591372115,0.2314814814814814,0.6533554802610041,0.9070951817268686,5.098496767051753,2.095700792662442,True,3.140197713317737,3.0027959743893105,2.850646954938193,False,False,1.769699290858582,1.9233575642345169,3.7820989161452134,0.0967397937103784,0.7076416595225905,0.1127493644188652,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,3.0027959743893105,False,inactive,-1.0,6.0,0.2,0.0562370455994898,3.0027959743893105,False,-0.1623877641486846,0.47517462671418,False,0.0,6072|6048|6085,0.780842|0.811321|0.842572
Rq_nm,6072,1.470114925398485,0.7607716381015716,0.7093432872969135,0.3425545892956876,0.7844393039348345,0.2155606960651654,0.662962962962963,0.2223935725425534,0.0,2.4888251897713154,1.728053551669744,True,1.046587890383201,0.9324291881584524,0.7607716381015716,True,False,1.9737975917034605,1.8815992443504124,3.7820989161452134,0.3189572919466253,1.049520374638312,1.3391837454519808,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,0.7607716381015716,False,inactive,0.0,6.0,0.3333333333333333,0.0594208386479591,0.7607716381015716,False,0.1477792029855061,0.5379805807108737,False,0.0,6047|6056|6101,0.419517|0.479712|0.69231
Rq_nm,6078,1.5030123744331587,2.730365987671745,1.2273536132385865,0.6816907815525556,0.6961857134591445,0.3038142865408555,0.1981481481481481,0.5196243468900367,0.7664138859004836,4.694318089443007,1.9639521017712616,True,2.566444954685051,2.730365987671745,2.9783617264531896,False,False,1.5155945618520024,1.9233575642345169,3.7820989161452134,0.1488517379532795,0.5206662124160089,1.4200753729590028,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,2.730365987671745,False,inactive,-3.5,5.0,0.4642857142857143,0.0674445950255102,2.730365987671745,False,-0.3783239135838418,0.4679880832066347,False,0.0,6090|6028|6062,0.454565|0.542394|0.742805
Rq_nm,6022,1.6493402243808166,1.313524054588533,0.3358161697922837,0.3339443765450257,0.8570561466167024,0.1429438533832976,0.7907407407407407,0.172202520183997,0.0,2.70056421313563,1.387040158547097,True,0.5843044911041808,0.4750322009782713,1.313524054588533,True,False,2.0034743494414173,1.8815992443504124,3.7820989161452134,1.0170863290403238,8.415193878371428,1.5163732426376204,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,1.313524054588533,False,inactive,-0.5,3.0,0.0,0.1042580117984693,1.313524054588533,False,0.225422669572382,0.3153740757175644,False,0.0,6057|N6358|6029,0.735885|1.36641|1.45709
Rq_nm,6048,1.8154828647322656,2.32348641798451,0.5080035532522444,0.2851718143129646,0.8778417873243872,0.1221582126756127,0.4611111111111111,0.4808413860153872,0.84187315147499,3.80509968449403,1.48161326650952,True,2.4147039825545003,2.32348641798451,3.329119574342122,False,False,1.8795430460237237,1.9233575642345169,3.7820989161452134,0.3596390529177199,1.1557231031794082,0.7711593928836471,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,2.32348641798451,False,inactive,-2.5,7.5,0.2761904761904762,0.0473582987882653,2.32348641798451,False,-0.0701890314175711,0.5064960278143101,False,0.0,6080|6033|6084,0.391882|0.663697|0.805066
Rq_nm,6082,1.8636132807576915,2.861394532579381,0.9977812518216892,0.9200457901665654,0.6475697868756689,0.3524302131243311,0.3481481481481481,0.7094873164284965,0.7541210051175096,4.968668060041252,2.1072735274618712,True,3.3430745897423457,2.861394532579381,2.9300570420315495,False,False,1.8815992443504124,1.9233575642345169,3.7820989161452134,0.155581814608249,0.8130626372081956,0.7886997959220521,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,2.861394532579381,False,inactive,-3.0,5.0,0.25,0.0811941964285714,2.861394532579381,False,-0.439976298465029,0.3916661555780874,False,0.0,6085|6070|6062,0.283425|0.601688|0.634429
Rq_nm,N6390,1.962089230162033,1.2286004274463789,0.7334888027156541,1.6241326568176326,0.3328994194753732,0.6671005805246267,0.6592592592592592,0.1895243237647859,0.0,4.2704175179114525,3.0418170904650736,True,1.3632146199047348,1.2286004274463789,1.911840363028707,False,False,1.6162787014724374,1.9233575642345169,3.7820989161452134,0.4421906613427397,2.4261771968779486,0.8341800245324197,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,1.2286004274463789,False,inactive,5.0,15.0,0.5873015873015873,0.0028390066964285,1.2286004274463789,False,0.1275728347145963,0.9395107720897432,False,0.0,N6382|N6342|6099,0.706636|2.6628|2.80516
Rq_nm,N6389,2.018978522546079,2.8771848693734574,0.8582063468273784,0.9131926285785124,0.6686758083158127,0.3313241916841872,0.4592592592592592,0.4984271020270574,0.812061906527553,4.942307832219361,2.0651229628459045,True,3.0702818259715063,2.8771848693734574,2.2646050632162416,False,False,1.644206331667469,1.9233575642345169,3.7820989161452134,0.3043689786707562,1.0084246450936225,0.6581498431935437,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,2.8771848693734574,False,inactive,5.5,24.0,0.6614634146341464,9.964923469387755e-05,2.8771848693734574,False,0.1571756535322414,0.9898696754507276,False,0.0,N6382|N6390|N6342,4.28583|4.87332|7.51964
Rq_nm,6033,2.0502288469039893,2.455710404967717,0.4054815580637276,0.3560779986909949,0.8496164071116873,0.1503835928883127,0.5537037037037037,0.4667988918460901,0.8913618557947243,4.02005895414071,1.5643485491729927,True,2.063604119251132,2.455710404967717,1.559399533479985,False,False,1.7783386057749078,1.9233575642345169,3.7820989161452134,0.4541152573188555,3.4881285264350836,0.1609800607055453,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,2.455710404967717,False,inactive,-3.5,8.0,0.358974358974359,0.0358826929209183,2.455710404967717,False,0.0063673934742695,0.5529368304618725,False,0.0,6080|6048|6028,0.671665|0.677333|1.18145
Rq_nm,6085,2.2395860210430385,4.236166376735063,1.996580355692024,0.9852445214946594,0.3476924207484078,0.6523075792515922,0.2888888888888889,0.7452980147381433,1.376801301529535,7.09553145194059,2.8593650752055275,True,4.436394038820158,4.712617056715483,5.518898197484337,False,True,1.664437382769706,1.9233575642345169,3.7820989161452134,0.2183363454108915,0.511485162044296,0.5314302125046064,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,4.712617056715483,True,rough_consensus,-3.0,5.0,0.2678571428571428,0.0668118223852041,5.518898197484337,True,-0.2191157504582845,0.4136841298621339,False,0.0,6082|6070|6062,0.269691|0.52136|0.614653
Rq_nm,6029,2.289763258630059,1.598836977651232,0.690926280978827,0.9274461129235144,0.6545500443094308,0.3454499556905693,0.4185185185185185,0.3433884457945817,0.0,3.608864967619247,2.010027989968015,True,1.627067650628515,1.598836977651232,2.2829137421339247,False,False,1.8064676289236243,1.9233575642345169,3.7820989161452134,0.356176108184652,0.7028573964660958,0.3180159351315391,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,1.598836977651232,False,inactive,-3.5,3.0,0.1987179487179487,0.0925103635204081,1.598836977651232,False,-0.2525978028814104,0.320526991537957,False,0.0,6082|N6358|6062,0.71692|0.746528|0.819733
Rq_nm,6090,2.409593827374987,3.4424952018109516,1.0329013744359647,1.3462467268134677,0.318421586707269,0.681578413292731,0.5611111111111111,0.741710058853234,0.4964893158874526,6.388501087734451,2.946005885923499,True,5.133664548461037,4.852524243301224,2.4530966640035143,False,True,1.720015707868306,1.9233575642345169,3.7820989161452134,0.7384685701550022,0.7041358643434837,0.2211531426309939,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,5.133664548461037,True,rough_consensus,-4.5,4.5,0.45,0.0813516422193877,5.133664548461037,True,-0.3225761759742012,0.4163628402716552,False,0.0,6078|6028|6062,0.464084|0.583892|0.603165
Rq_nm,6056,2.5294262589551333,1.6338508663940672,0.8955753925610661,1.0280318733256824,0.6568579753495853,0.3431420246504146,0.4351851851851851,0.3203091353930354,0.0,3.557291429237113,1.923440562843046,True,1.7100310480463328,1.6338508663940672,3.5768803610718214,False,False,1.7495601597613626,1.9233575642345169,3.7820989161452134,0.7835512897586638,0.6980929638732769,0.0558967015311294,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,1.6338508663940672,False,inactive,-0.5,5.0,0.4,0.0644909917091836,1.6338508663940672,False,0.149444307108482,0.5235960912520734,False,0.0,6047|6072|6101,0.315468|0.477133|0.539625
Rq_nm,6070,2.544952193275771,1.8311266539120452,0.7138255393637256,0.3366539886573713,0.921734146226788,0.0782658537732119,0.2592592592592592,0.3866395702181746,0.4867249785166674,3.175528329307423,1.3444016753953778,True,2.003976771197036,1.8055715285892755,1.8311266539120452,True,False,1.9233575642345169,1.8815992443504124,3.7820989161452134,0.1042564139327084,0.7540038839301353,1.0380240573159412,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,1.8311266539120452,False,inactive,-2.0,5.5,0.3333333333333333,0.072135084502551,1.8311266539120452,False,-0.2367332182728335,0.4611789249160777,False,0.0,6047|6085|6082,0.361591|0.490092|0.560465
Rq_nm,6062,3.0923655409506767,3.2230925682683815,0.1307270273177048,2.20346005543792,0.2092592592592592,0.7907407407407407,0.3629629629629629,0.9444444444444444,0.0705414241438178,6.375643712392945,3.1525511441245637,True,6.16861145497886,6.146221346827347,4.828434170440086,False,True,1.7434996976483514,1.9233575642345169,3.7820989161452134,0.2449515379854094,0.5182376770881537,0.0900490921766576,False,26,26,M20_spot_connectivity_calibrated_sq,M19 uncertainty with strict outer-LOO spot-connectivity residual calibration; query AFM target excluded,6.16861145497886,True,rough_consensus,-4.0,4.0,0.3333333333333333,0.0793915417729592,6.16861145497886,True,-0.5291442797262382,0.3815184936561257,False,0.0,6090|6085|6082,0.603165|0.607351|0.611673
