review_id,sample_id,method,A,B
0,6048,S1_top1_real_exemplar_retrieval,candidate,real
1,6056,S1_top1_real_exemplar_retrieval,candidate,real
2,6047,S1_top1_real_exemplar_retrieval,real,candidate
3,6033,S1_top1_real_exemplar_retrieval,real,candidate
4,6095,S1_top1_real_exemplar_retrieval,real,candidate
5,6081,S1_top1_real_exemplar_retrieval,candidate,real
6,6085,S1_top1_real_exemplar_retrieval,candidate,real
7,6101,S1_top1_real_exemplar_retrieval,real,candidate
8,6084,S1_top1_real_exemplar_retrieval,real,candidate
9,6063,S1_top1_real_exemplar_retrieval,real,candidate
10,6062,S1_top1_real_exemplar_retrieval,real,candidate
11,6078,S1_top1_real_exemplar_retrieval,real,candidate
