descriptor,count,mae,rmse,pearson,spearman,monotonicity
rq,10,5.178988754866684,5.1791279794459895,0.472017864624523,0.3152562498468265,-0.5
ra,10,3.9626259957394923,3.96287289763339,0.47556146418040457,0.3152562498468265,-0.5
robust_range,10,25.384467942632142,25.386309881686824,0.2827990072635841,0.10508541661560881,0.0
mean_abs_gradient,10,0.9511916191281763,0.9512754735283092,-0.3816809047536271,-0.24519930543642057,0.0
gradient_std,10,0.8913732065521488,0.8914738987926525,0.003034220968429776,0.10508541661560881,0.1428571428571428
gradient_anisotropy,10,0.05724234598226948,0.06437433342568535,-0.0457662617589162,0.10508541661560881,0.0
psd_low_power,10,5.3820622879725155,5.382100439222099,0.2386693767652219,0.24519930543642057,-0.1428571428571429
psd_mid_power,10,5.491614832200262,5.4918830980692945,0.697527711947813,0.6655409718988559,-0.4285714285714286
psd_high_power,10,4.590984215095064,4.591200848906586,0.7344872781173147,0.8056548607196676,0.1428571428571428
psd_slope,10,0.04551799450619383,0.05060601081142055,0.814238034203279,0.8757118051300735,-0.4285714285714286
autocorrelation_length_px,10,2.3,2.3874672772626644,0.0,0.0,0.0
island_count,10,24.7,26.182054923172092,-0.29411060434901315,-0.3889087296526011,0.1428571428571428
island_mean_area_px,10,154.46232209733597,157.9721752185039,-0.25151206012242494,-0.3889087296526011,-0.1428571428571429
