growth_run_id,true_target,prior_predicted_rq_nm,prior_rq_absolute_error_nm,current_predicted_rq_nm,current_rq_absolute_error_nm,rq_absolute_error_change_nm
6028,6.072564601898193,6.131415614666699,0.058851012768506,4.77440294824181,0.4399039497598345,0.3810529369913285
6029,2.561024904251098,2.5997000307101343,0.0386751264590361,1.6142997562227113,0.6754635024073476,0.6367883759483115
6047,3.066597064069266,2.8681638713989557,0.1984331926703104,2.7169629149774965,0.6315732047492246,0.4331400120789142
6048,2.455431633201468,1.5297524245255163,0.9256792086759518,2.753970133862905,0.9384872691306394,0.012808060454687631
6057,5.337333679199219,5.549023491713952,0.2116898125147335,0.829100439717929,3.1254381413761005,2.913748328861367
6062,3.091214734236458,3.408657707890912,0.3174429736544533,6.497320648442073,3.404955107491396,3.0875121338369427
6063,5.865590098313159,7.033225761753825,1.1676356634406666,5.031193730149218,0.2145073249968119,-0.9531283384438547
6070,3.047229528427124,2.640625388625884,0.4066041398012401,1.7267883984436638,0.818163794832107,0.4115596550308669
6072,1.470114827156067,1.4986408335193715,0.0285260063633046,0.6383192119199642,0.8317957134785209,0.8032697071152163
6078,2.0597975274126674,2.957887415700462,0.8980898882877946,1.998202658270557,0.4951902838373982,-0.40289960445039635
6082,1.863613247871399,1.970025130364652,0.1064118824932531,2.785154276894946,0.9215409961372544,0.8151291136440013
6084,1.9596685775258929,2.240505665401505,0.2808370878756125,2.6193658708954635,1.2273850661289023,0.9465479782532897
6085,3.1255097083820487,4.251281349216936,1.1257716408348872,4.788945862665598,2.549359841622559,1.423588200787672
6090,4.685108184814453,4.794107297380862,0.1089991125664084,4.021494111229914,1.611900283854927,1.5029011712885185
6095,9.867135047912596,5.787773568720253,4.079361479192343,7.691432805436848,1.3827506123774826,-2.6966108668148605
