sample_id,display_sample_id,ground_truth_T4_rq_nm,original_28fold_prediction_nm,excluded_26fold_prediction_nm,original_absolute_error_nm,excluded_absolute_error_nm,absolute_error_change_excluded_minus_original_nm
6028,6028,5.7479071617126465,5.015514398539358,4.377893435496678,0.732392763173288,1.3700137262159684,0.6376209630426803
6029,6029,2.3621323108673096,3.757550192974421,3.74708131445337,1.3954178821071115,1.3849490035860605,-0.01046887852105094
6033,6033,2.2941808700561523,2.595764989246895,4.282371278696589,0.3015841191907427,1.9881904086404365,1.6866062894496938
6047,6047,4.191615502039592,3.040293297328174,4.034688382820045,1.1513222047114176,0.15692711921954672,-0.9943950854918708
6048,6048,1.9803074598312376,1.811187474559282,3.442116342357299,0.1691199852719556,1.4618088825260613,1.2926888972541057
6056,6056,2.764359931151072,2.924466337171652,2.228614133375742,0.16010640602058013,0.5357457977753302,0.37563939175475003
6057,6057,4.548365879058838,3.1116109384301076,1.7884770951543807,1.43675494062873,2.759888783904457,1.323133843275727
6062,6062,3.074277698993683,3.760209593847217,0.2768316602590892,0.685931894853534,2.7974460387345936,2.1115141438810596
6063,6063,5.763735413551331,3.5983344530907297,4.668305362463993,2.165400960460601,1.0954300510873374,-1.0699709093732634
6070,6070,2.6383082469304404,5.130813528522593,3.5577535466502623,2.4925052815921522,0.9194452997198219,-1.5730599818723303
6072,6072,1.269736334681511,2.8898929946631315,2.566438972631341,1.6201566599816206,1.29670263794983,-0.3234540220317905
6078,6078,1.431350588798523,0.8691385556342786,0.8600326897443789,0.5622120331642444,0.5713178990541441,0.0091058658898997
6080,6080,3.5164570808410645,3.616276785310885,2.790483787847315,0.09981970446982036,0.7259732929937495,0.6261535885239291
6081,6081,1.122542753815651,4.912903616908098,2.7998574364806292,3.790360863092447,1.6773146826649783,-2.1130461804274687
6082,6082,1.8729759057362871,3.791052800359932,4.161090590250998,1.918076894623645,2.288114684514711,0.37003778989106584
6084,6084,1.765614032745361,2.9731879844262195,2.8802081895878615,1.2075739516808583,1.1145941568425004,-0.09297979483835794
6085,6085,2.74203884601593,2.4166800262535095,3.943276815290283,0.32535881976242065,1.2012379692743527,0.875879149511932
6090,6090,2.7626312573750815,1.924378939899876,1.4810372430952272,0.8382523174752055,1.2815940142798543,0.44334169680464885
6094,6094,2.4914984362465993,5.3970955546067545,3.7067381120798375,2.905597118360155,1.2152396758332382,-1.690357442526917
6095,6095,7.420876423517863,4.75230300496292,3.603224920030379,2.668573418554943,3.8176515034874843,1.1490780849325413
6101,6101,1.193656861782074,0.8166948679651607,1.9570446236643184,0.3769619938169133,0.7633877618822444,0.38642576806533113
6342,N6342,0.8944640640887295,0.6926634896015851,1.48066606850315,0.2018005744871444,0.5862020044144206,0.3844014299272762
6358,N6358,1.0923130641108978,-0.2749528679313706,0.0697292386833376,1.3672659320422684,1.02258382542756,-0.34468210661470833
6382,N6382,1.3039365987122695,0.3736232128657959,1.4914870056855218,0.9303133858464736,0.18755040697325231,-0.7427629788732213
6389,N6389,2.3350145688981594,3.41461998526113,2.5836286709455587,1.0796054163629707,0.2486141020473993,-0.8309913143155714
6390,N6390,2.2977279175143965,3.6746749471376967,2.0772781882359737,1.3769470296233002,0.22044972927842288,-1.1564973003448773
