experiment,common_sample_count,original_MAE_nm,original_median_absolute_error_nm,original_RMSE_nm,original_mean_bias_nm,original_R2,original_Pearson_r,original_Spearman_rho,original_Kendall_tau,original_CCC,excluded_MAE_nm,excluded_median_absolute_error_nm,excluded_RMSE_nm,excluded_mean_bias_nm,excluded_R2,excluded_Pearson_r,excluded_Spearman_rho,excluded_Kendall_tau,excluded_CCC,MAE_change_excluded_minus_original_nm,RMSE_change_excluded_minus_original_nm,R2_change_excluded_minus_original,Pearson_r_change_excluded_minus_original,Spearman_rho_change_excluded_minus_original,Kendall_tau_change_excluded_minus_original,CCC_change_excluded_minus_original
Historical baseline on extra five,5,1.904025804303784,2.974758297351886,2.3534263003234006,-1.7875031944414925,-13.816426133310623,0.9884381689752824,0.8999999999999998,0.7999999999999999,0.31756304836066884,0.8393571946954232,0.821011555541701,0.9266658165283038,-0.8393571946954232,-1.2971456937538108,0.9617069380921496,0.8999999999999998,0.7999999999999999,0.5636176127531737,-1.0646686096083608,-1.4267604837950967,12.519280439556812,-0.026731230883132784,0.0,0.0,0.24605456439250484
Retrained prospective test,3,1.1417549664582376,1.4408937891219336,1.4110699016371422,1.1349081680740776,-3.4293821798003146,0.9874409464811215,0.5,0.33333333333333337,0.4983450779092915,0.26047026320748795,0.18135176684965826,0.33710309677616684,0.2290998731814766,0.7472031945023663,0.9762600335351014,1.0,1.0,0.8396039579172596,-0.8812847032507496,-1.0739668048609754,4.176585374302681,-0.011180912946020083,0.5,0.6666666666666666,0.3412588800079681
LOO common retained cohort,26,1.2292081750520978,1.1154638105371941,1.5466742739501307,0.23492130356012814,0.06195875987671606,0.517924172157842,0.5083760683760683,0.38461538461538464,0.5113454874469583,1.257245133012606,1.1579160630584266,1.5287617780570681,-0.0008334655611208155,0.08356041425978511,0.44851990283841986,0.4229059829059829,0.31076923076923074,0.4365270286165037,0.028036957960508202,-0.01791249589306254,0.021601654383069047,-0.06940426931942217,-0.08547008547008539,-0.0738461538461539,-0.07481845883045457
Held-one-out AFM displayed Rq common cohort,26,1.3044523025310073,1.0132364366827287,1.7062670284899806,0.23950077395942013,0.03343829206653537,0.4601980406141811,0.427008547008547,0.3046153846153846,0.4500293666770895,1.3522213973491897,1.220445388543656,1.666705698146681,-0.0068675670053430955,0.07773988124167852,0.4175140411619723,0.41059829059829056,0.3046153846153846,0.3973640393174735,0.04776909481818237,-0.03956133034329956,0.04430158917514315,-0.0426839994522088,-0.016410256410256452,0.0,-0.05266532735961599
