sample_id,display_sample_id,selected_ground_truth_rq_nm,original_rendered_rq_nm,excluded_rendered_rq_nm,original_absolute_error_nm,excluded_absolute_error_nm,absolute_error_change_excluded_minus_original_nm,original_source_sample_id,excluded_source_sample_id,retrieved_source_changed
6028,6028,5.783085823059082,5.015514398539358,4.377893435496678,0.7675714245197236,1.405192387562404,0.6376209630426803,6057,6056,True
6029,6029,2.289785623550415,3.757550192974421,3.74708131445337,1.467764569424006,1.457295690902955,-0.01046887852105094,6028,6056,True
6033,6033,2.2941808700561523,2.595764989246895,4.282371278696589,0.3015841191907427,1.9881904086404365,1.6866062894496938,6028,6056,True
6047,6047,4.694860458374023,3.040293297328174,4.034688382820045,1.6545671610458492,0.6601720755539784,-0.9943950854918708,6028,6056,True
6048,6048,1.868177890777588,1.811187474559282,3.442116342357299,0.05699041621830592,1.573938451579711,1.516948035361405,6028,6028,False
6056,6056,2.7708516120910645,2.924466337171652,2.228614133375742,0.1536147250805877,0.5422374787153226,0.38862275363473486,6028,6028,False
6057,6057,4.551929473876953,3.1116109384301076,1.7884770951543807,1.4403185354468455,2.7634523787225724,1.323133843275727,6028,6028,False
6062,6062,3.008188247680664,3.760209593847217,0.2768316602590892,0.7520213461665528,2.731356587421575,1.979335241255022,6028,6094,True
6063,6063,5.703505516052246,3.5983344530907297,4.668305362463993,2.1051710629615163,1.035200153588253,-1.0699709093732634,6028,6056,True
6070,6070,2.764878034591675,5.130813528522593,3.5577535466502623,2.365935493930918,0.7928755120585875,-1.5730599818723303,6057,6028,True
6072,6072,1.2755963802337646,2.8898929946631315,2.566438972631341,1.614296614429367,1.2908425923975764,-0.3234540220317905,6028,6028,False
6078,6078,1.2682849168777466,0.8691385556342786,0.8600326897443789,0.39914636124346803,0.40825222713336773,0.0091058658898997,6028,6028,False
6080,6080,3.645188093185425,3.616276785310885,2.790483787847315,0.028911307874539993,0.8547043053381098,0.8257929974635698,6028,6028,False
6081,6081,0.94173663854599,4.912903616908098,2.7998574364806292,3.971166978362108,1.8581207979346392,-2.1130461804274687,6057,6028,True
6082,6082,1.8638947010040283,3.791052800359932,4.161090590250998,1.9271580993559039,2.2971958892469697,0.37003778989106584,6028,6056,True
6084,6084,1.6137787103652954,2.9731879844262195,2.8802081895878615,1.359409274060924,1.266429479222566,-0.09297979483835794,6028,6028,False
6085,6085,2.768815517425537,2.4166800262535095,3.943276815290283,0.3521354911720276,1.1744612978647457,0.8223258066927182,6028,6056,True
6090,6090,2.861668348312378,1.924378939899876,1.4810372430952272,0.9372894084125019,1.3806311052171507,0.44334169680464885,6028,6028,False
6094,6094,1.3908814191818235,5.3970955546067545,3.7067381120798375,4.006214135424931,2.3158566928980138,-1.690357442526917,6057,6056,True
6095,6095,8.149551391601562,4.75230300496292,3.603224920030379,3.3972483866386423,4.5463264715711835,1.1490780849325413,6056,6056,False
6101,6101,1.3161125183105469,0.8166948679651607,1.9570446236643184,0.4994176503453862,0.6409321053537715,0.14151445500838533,6028,6028,False
6342,N6342,0.877333523381528,0.6926634896015851,1.48066606850315,0.18467003377994295,0.603332545121622,0.4186625113416791,6094,6028,True
6358,N6358,1.0901834649529556,0.001,0.0697292386833376,1.0891834649529557,1.020454226269618,-0.0687292386833378,6094,6094,False
6382,N6382,1.3053723796847192,0.3736232128657959,1.4914870056855218,0.9317491668189233,0.18611462600080264,-0.7456345408181206,6094,6028,True
6389,N6389,2.539614965697953,3.41461998526113,2.5836286709455587,0.8750050195631771,0.04401370524760573,-0.8309913143155714,6028,6028,False
6390,N6390,2.397455327751362,3.6746749471376967,2.0772781882359737,1.2772196193863348,0.3201771395153883,-0.9570424798709465,6028,6028,False
