experiment,original_sample_count,excluded_sample_count,original_MAE_nm,original_median_absolute_error_nm,original_RMSE_nm,original_mean_bias_nm,original_R2,original_Pearson_r,original_Spearman_rho,original_Kendall_tau,original_CCC,excluded_MAE_nm,excluded_median_absolute_error_nm,excluded_RMSE_nm,excluded_mean_bias_nm,excluded_R2,excluded_Pearson_r,excluded_Spearman_rho,excluded_Kendall_tau,excluded_CCC,MAE_change_excluded_minus_original_nm,RMSE_change_excluded_minus_original_nm
LOO full available cohort,28,26,1.5599663255723066,1.1794480781961378,2.166518740098196,0.18054004689510958,-0.06487757667027116,0.35055038890629686,0.4521072796934866,0.3386243386243386,0.33792939487374724,1.257245133012606,1.1579160630584266,1.5287617780570681,-0.0008334655611208155,0.08356041425978511,0.44851990283841986,0.4229059829059829,0.31076923076923074,0.4365270286165037,-0.30272119255970065,-0.6377569620411279
Held-one-out AFM full available cohort,28,26,1.633910765167056,1.1832015421696451,2.2851160003753415,0.18684403944061018,-0.07476272864156619,0.3183605715632219,0.38314176245210724,0.2698412698412698,0.30172558023864826,1.3522213973491897,1.220445388543656,1.666705698146681,-0.0068675670053430955,0.07773988124167852,0.4175140411619723,0.41059829059829056,0.3046153846153846,0.3973640393174735,-0.28168936781786624,-0.6184103022286604
