growth_run_id,sample_median_sq_nm
6028,5.214306831359862
6029,2.2897632122039795
6033,2.0502288341522217
6047,3.348536252975464
6048,1.8154829144477844
6056,2.529426336288452
6057,3.9545385837554927
6062,3.0923656225204468
6063,5.24570107460022
6070,2.544952154159546
6072,1.470114827156067
6078,1.5030123591423037
6080,3.9266197681427
6082,1.863613247871399
6084,1.391980767250061
6085,2.2395859956741333
6090,2.4095938205718994
6094,4.058265686035156
6095,9.07418346405029
6099,9.394835472106934
6101,0.481030598282814
N6342,0.8041046559810638
N6358,0.9793977737426758
N6382,1.1125519275665283
N6389,2.0189785957336426
N6390,1.9620892405509949
