target,uncertainty_feature,uncertainty_vs_absolute_error_spearman,p_value
FSMI_nm,base_to_tta_median_nm,0.28684956396159306,0.1553812386728162
FSMI_nm,tta_frame_std_nm,0.17606837606837608,0.3895836671644307
FSMI_nm,tta_roi_std_nm,0.4256410256410256,0.03016465883614045
FSMI_nm,tta_all_std_nm,0.35999999999999993,0.07084228282488045
FSMI_nm,tta_all_range_nm,0.35931623931623924,0.07141863181595455
Rq_nm,base_to_tta_median_nm,0.2709826262215201,0.18056944551621804
Rq_nm,tta_frame_std_nm,0.23145299145299145,0.2552569974415374
Rq_nm,tta_roi_std_nm,0.48854700854700855,0.011328973768061208
Rq_nm,tta_all_std_nm,0.3791452991452991,0.056106541458046014
Rq_nm,tta_all_range_nm,0.3641025641025641,0.06745878790326951
