method,median_cross_validation_fold,median_island_feature_mae_z,median_island_feature_rmse_z,median_afm_prior_mahalanobis,median_held_real_afm_prior_mahalanobis,median_afm_likeness_percentile,median_held_real_likeness_percentile,median_boundary_ratio_q70_absolute_error,median_median_area_q70_log_absolute_error,median_component_count_q70_log_absolute_error,median_generated__log_component_count_q55,median_true__log_component_count_q55,median_generated__log_component_count_q70,median_true__log_component_count_q70,median_generated__log_component_count_q82,median_true__log_component_count_q82,median_generated__log_median_area_q55,median_true__log_median_area_q55,median_generated__log_median_area_q70,median_true__log_median_area_q70,median_generated__log_median_area_q82,median_true__log_median_area_q82,median_generated__median_solidity_q70,median_true__median_solidity_q70,median_generated__median_eccentricity_q70,median_true__median_eccentricity_q70,median_generated__boundary_gradient_ratio_q55,median_true__boundary_gradient_ratio_q55,median_generated__boundary_gradient_ratio_q70,median_true__boundary_gradient_ratio_q70,median_generated__boundary_gradient_ratio_q82,median_true__boundary_gradient_ratio_q82,median_generated__log_valley_component_count_q18,median_true__log_valley_component_count_q18,median_generated__log_valley_median_area_q18,median_true__log_valley_median_area_q18,median_generated__gradient_p90,median_true__gradient_p90,median_generated__laplacian_rms,median_true__laplacian_rms,median_generated__flat_fraction,median_true__flat_fraction
diffusion_weight_0.10,7.0,1.5845414461431857,2.0990134116749446,6.625191829706239,3.4017907805307295,6.666666666666667,60.0,0.15091484785079956,0.758311783611898,0.5401315749999562,2.3221954495706862,2.6390573296152584,2.5649493574615367,3.093104311950247,2.6876392038420827,3.044522437723423,3.124021437254215,4.526784798013117,3.5549397315361357,4.300215394993146,3.436581917106259,3.912023005428146,0.8907608695652174,0.8888888888888888,0.7881729783461998,0.816496580927726,1.3715447783470154,1.3104304075241089,1.3629513382911682,1.2379597425460815,1.3119707703590393,1.178954839706421,2.70805020110221,3.6375861597263857,3.3910960280033953,3.4965075614664802,0.39142633974552155,0.5948836952447891,0.1631886065006256,0.25343936681747437,0.12542724609375,0.11212158203125
diffusion_weight_0.20,7.0,1.8761896950200643,2.2823562220246596,7.201334758064263,3.4017907805307295,6.666666666666667,60.0,0.20863789319992065,0.7718270859440488,0.4566045326683734,2.2975599250672953,2.6390573296152584,2.585241997519076,3.093104311950247,2.7058230259275198,3.044522437723423,3.198464827608073,4.526784798013117,3.3460418712533144,4.300215394993146,3.4965075614664802,3.912023005428146,0.896315863623556,0.8888888888888888,0.7915723251942066,0.816496580927726,1.4268624782562256,1.3104304075241089,1.4045369625091553,1.2379597425460815,1.3634889721870422,1.178954839706421,2.7058230259275198,3.6375861597263857,3.379917574452757,3.4965075614664802,0.39675143361091614,0.5948836952447891,0.16390078514814377,0.25343936681747437,0.13916015625,0.11212158203125
diffusion_weight_0.30,7.0,1.950272361820738,2.244108339555598,7.440457434093728,3.4017907805307295,6.666666666666667,60.0,0.2745423913002014,0.8873605245887659,0.4966258865051416,2.1383330595080277,2.6390573296152584,2.4814223151299535,3.093104311950247,2.6390573296152584,3.044522437723423,3.193860358065418,4.526784798013117,3.40064151723581,4.300215394993146,3.438132305945383,3.912023005428146,0.9010135893980233,0.8888888888888888,0.806263101373625,0.816496580927726,1.4882608652114868,1.3104304075241089,1.4521800875663757,1.2379597425460815,1.3984100222587585,1.178954839706421,2.6735537653587342,3.6375861597263857,3.3585999586305393,3.4965075614664802,0.4072328358888626,0.5948836952447891,0.1654300093650818,0.25343936681747437,0.15679931640625,0.11212158203125
diffusion_weight_0.40,7.0,2.111780828990037,2.4742589311549357,7.847130701591607,3.4017907805307295,6.666666666666667,60.0,0.31698077917099,0.7523687158438972,0.5681763083254783,2.0794415416798357,2.6390573296152584,2.4337672252277915,3.093104311950247,2.6711671259824055,3.044522437723423,3.129551669154371,4.526784798013117,3.5573847241832315,4.300215394993146,3.633326375636983,3.912023005428146,0.8971449235431878,0.8888888888888888,0.8024731873993736,0.816496580927726,1.5615511536598206,1.3104304075241089,1.5108667016029358,1.2379597425460815,1.4542800784111023,1.178954839706421,2.8314802400679726,3.6375861597263857,3.5638468496736992,3.4965075614664802,0.4180251210927963,0.5948836952447891,0.16776923090219498,0.25343936681747437,0.17608642578125,0.11212158203125
diffusion_weight_0.50,7.0,2.244799085157258,2.6497341359734845,8.395390064355947,3.4017907805307295,6.666666666666667,60.0,0.3297575116157532,0.8958797346140273,0.7428641290540385,2.0948273710132126,2.6390573296152584,2.4849066497880004,3.093104311950247,2.6020033435383976,3.044522437723423,3.2355932129113194,4.526784798013117,3.3885384776700103,4.300215394993146,3.7012257604091223,3.912023005428146,0.9024621212121212,0.8888888888888888,0.7944789619177801,0.816496580927726,1.6222441792488098,1.3104304075241089,1.5586873888969421,1.2379597425460815,1.5042212009429932,1.178954839706421,2.5649493574615367,3.6375861597263857,3.431901695726477,3.4965075614664802,0.42619381844997406,0.5948836952447891,0.17266742140054703,0.25343936681747437,0.204681396484375,0.11212158203125
