descriptor,feature,group,mean_importance_delta_mse,std_importance_delta_mse,fold_count
island_count,weighted_mean_projection_peak_prominence_y,other_stable_geometry,37275.18630456622,0.0,1
island_mean_area_px,iqr_right_side_component_fraction,other_stable_geometry,36952.16809766274,0.0,1
island_mean_area_px,iqr_projection_peak_count_x,other_stable_geometry,36325.29677875992,0.0,1
island_mean_area_px,iqr_component_density,spot_count_density,34705.90933174919,0.0,1
island_count,std_pairwise_distance_hist_3,spacing_pairwise_distance,32782.931854052935,0.0,1
island_count,trimmed_mean_pairwise_distance_hist_2,spacing_pairwise_distance,32571.428101631114,0.0,1
island_count,weighted_median_vertical_spacing_peak,spacing_pairwise_distance,32443.095439745346,0.0,1
island_mean_area_px,weighted_median_pairwise_distance_hist_0,spacing_pairwise_distance,32278.279952465557,0.0,1
island_count,weighted_mean_right_side_component_fraction,other_stable_geometry,31733.08072449593,0.0,1
island_count,std_centroid_x_std,other_stable_geometry,31305.313290171558,0.0,1
island_count,std_ring_likeness_proxy,other_stable_geometry,28747.908594683744,0.0,1
island_mean_area_px,trimmed_mean_projection_peak_prominence_x,other_stable_geometry,27841.47650470864,0.0,1
island_mean_area_px,trimmed_mean_nearest_neighbor_distance_mean,spacing_pairwise_distance,26909.331885483116,0.0,1
island_mean_area_px,iqr_pairwise_distance_hist_0,spacing_pairwise_distance,26317.727631399408,0.0,1
island_mean_area_px,iqr_mask_confidence,mask_quality,25974.46271168813,0.0,1
island_mean_area_px,iqr_orientation_entropy,orientation_anisotropy,25299.479881366715,0.0,1
island_count,weighted_median_artifact_candidate_count,mask_quality,24770.676252041012,0.0,1
island_count,trimmed_mean_projection_peak_prominence_y,other_stable_geometry,23476.17921537161,0.0,1
island_count,std_fft_anisotropy,orientation_anisotropy,23386.834391085664,0.0,1
island_count,std_pairwise_distance_hist_0,spacing_pairwise_distance,21173.36383082182,0.0,1
island_count,iqr_center_component_fraction,other_stable_geometry,16820.110182099976,0.0,1
island_count,weighted_mean_projection_peak_prominence_x,other_stable_geometry,16631.21811918984,0.0,1
island_count,weighted_mean_component_density,spot_count_density,16483.07903718576,0.0,1
island_mean_area_px,iqr_pairwise_distance_hist_2,spacing_pairwise_distance,16189.045377765782,0.0,1
