fold_id,repeat,descriptor,feature,group,base_mse,permuted_mse,importance_delta_mse
original_mvp9,0,autocorrelation_length_px,weighted_mean_total_component_count,spot_count_density,679.108842193526,680.1349924913134,1.0261502977873533
original_mvp9,0,autocorrelation_length_px,weighted_median_total_component_count,spot_count_density,679.108842193526,678.4800939808757,-0.6287482126502937
original_mvp9,0,autocorrelation_length_px,trimmed_mean_total_component_count,spot_count_density,679.108842193526,682.8664075562418,3.757565362715809
original_mvp9,0,autocorrelation_length_px,std_total_component_count,spot_count_density,679.108842193526,687.3397303411258,8.230888147599785
original_mvp9,0,autocorrelation_length_px,iqr_total_component_count,spot_count_density,679.108842193526,594.376010804549,-84.73283138897705
original_mvp9,0,autocorrelation_length_px,weighted_mean_elongated_spot_count,spot_count_density,679.108842193526,687.3787697126392,8.26992751911314
original_mvp9,0,autocorrelation_length_px,weighted_median_elongated_spot_count,spot_count_density,679.108842193526,691.5953706624933,12.486528468967322
original_mvp9,0,autocorrelation_length_px,trimmed_mean_elongated_spot_count,spot_count_density,679.108842193526,685.1987677653019,6.089925571775893
original_mvp9,0,autocorrelation_length_px,std_elongated_spot_count,spot_count_density,679.108842193526,700.4215239804239,21.312681786897883
original_mvp9,0,autocorrelation_length_px,iqr_elongated_spot_count,spot_count_density,679.108842193526,704.2188535676415,25.110011374115516
original_mvp9,0,autocorrelation_length_px,weighted_mean_diffuse_blob_count,other_stable_geometry,679.108842193526,772.9442482942685,93.83540610074249
original_mvp9,0,autocorrelation_length_px,weighted_median_diffuse_blob_count,other_stable_geometry,679.108842193526,679.108842193526,0.0
original_mvp9,0,autocorrelation_length_px,trimmed_mean_diffuse_blob_count,other_stable_geometry,679.108842193526,679.108842193526,0.0
original_mvp9,0,autocorrelation_length_px,std_diffuse_blob_count,other_stable_geometry,679.108842193526,644.7829365582315,-34.325905635294475
original_mvp9,0,autocorrelation_length_px,iqr_diffuse_blob_count,other_stable_geometry,679.108842193526,679.108842193526,0.0
original_mvp9,0,autocorrelation_length_px,weighted_mean_artifact_candidate_count,mask_quality,679.108842193526,685.6547898311334,6.545947637607355
original_mvp9,0,autocorrelation_length_px,weighted_median_artifact_candidate_count,mask_quality,679.108842193526,677.6343740586849,-1.4744681348411177
original_mvp9,0,autocorrelation_length_px,trimmed_mean_artifact_candidate_count,mask_quality,679.108842193526,672.5588681344357,-6.549974059090346
original_mvp9,0,autocorrelation_length_px,std_artifact_candidate_count,mask_quality,679.108842193526,685.7091459672213,6.600303773695259
original_mvp9,0,autocorrelation_length_px,iqr_artifact_candidate_count,mask_quality,679.108842193526,723.5330753698654,44.424233176339385
original_mvp9,0,autocorrelation_length_px,weighted_mean_component_density,spot_count_density,679.108842193526,681.6459468137616,2.5371046202355956
original_mvp9,0,autocorrelation_length_px,weighted_median_component_density,spot_count_density,679.108842193526,677.1535356535578,-1.9553065399682055
original_mvp9,0,autocorrelation_length_px,trimmed_mean_component_density,spot_count_density,679.108842193526,685.2304919445471,6.121649751021096
original_mvp9,0,autocorrelation_length_px,std_component_density,spot_count_density,679.108842193526,696.9455047623037,17.836662568777683
original_mvp9,0,autocorrelation_length_px,iqr_component_density,spot_count_density,679.108842193526,659.1493155663021,-19.95952662722391
original_mvp9,0,autocorrelation_length_px,weighted_mean_mean_area,other_stable_geometry,679.108842193526,680.067927402815,0.9590852092890145
original_mvp9,0,autocorrelation_length_px,weighted_median_mean_area,other_stable_geometry,679.108842193526,680.9636022404712,1.8547600469452163
original_mvp9,0,autocorrelation_length_px,trimmed_mean_mean_area,other_stable_geometry,679.108842193526,677.6019525034446,-1.5068896900813797
