epoch,train_loss,val_mse
1,1.2388572543859482,1.052808403968811
2,1.8034586310386658,1.055253028869629
3,1.1780811548233032,1.0621130466461182
4,1.1738794893026352,1.0761760473251343
5,1.1216518431901932,1.0866820812225342
6,1.3481686413288116,1.0874913930892944
7,1.3843774199485779,1.0823348760604858
8,1.1053526997566223,1.086653470993042
9,1.1233830899000168,1.0871366262435913
10,1.7700769007205963,1.0851340293884277
11,1.3130680918693542,1.074610948562622
12,1.133378654718399,1.0624972581863403
13,1.126215174794197,1.0615369081497192
14,1.1092261970043182,1.0683823823928833
15,1.194946974515915,1.0775980949401855
16,1.0545731782913208,1.0795749425888062
