blend_weight,median_island_feature_mae_z,median_afm_prior_mahalanobis,median_afm_likeness_percentile
0.35,1.6039250547453456,7.687524533578523,6.666666666666667
0.45,1.6217741956207823,7.881394860222396,6.666666666666667
0.55,1.6304655945352602,7.348286378738904,6.666666666666667
0.65,1.8511137212083209,7.040212020857643,6.666666666666667
