growth_run_id,method,island_feature_mae_z,island_feature_rmse_z,afm_prior_mahalanobis,held_real_afm_prior_mahalanobis,afm_likeness_percentile,held_real_likeness_percentile,boundary_ratio_q70_absolute_error,median_area_q70_log_absolute_error,component_count_q70_log_absolute_error,generated__log_component_count_q55,true__log_component_count_q55,generated__log_component_count_q70,true__log_component_count_q70,generated__log_component_count_q82,true__log_component_count_q82,generated__log_median_area_q55,true__log_median_area_q55,generated__log_median_area_q70,true__log_median_area_q70,generated__log_median_area_q82,true__log_median_area_q82,generated__median_solidity_q70,true__median_solidity_q70,generated__median_eccentricity_q70,true__median_eccentricity_q70,generated__boundary_gradient_ratio_q55,true__boundary_gradient_ratio_q55,generated__boundary_gradient_ratio_q70,true__boundary_gradient_ratio_q70,generated__boundary_gradient_ratio_q82,true__boundary_gradient_ratio_q82,generated__log_valley_component_count_q18,true__log_valley_component_count_q18,generated__log_valley_median_area_q18,true__log_valley_median_area_q18,generated__gradient_p90,true__gradient_p90,generated__laplacian_rms,true__laplacian_rms,generated__flat_fraction,true__flat_fraction,blend_weight
6028,weight_0.35,1.7993005576845325,2.2557314997894635,8.15973120847761,2.9622902259698,6.666666666666667,66.66666666666667,0.1548507809638977,1.5740359853831842,0.23131176097405604,2.1383330595080277,2.3978952727983707,2.6590599969221085,2.8903717578961645,2.6735537653587342,2.833213344056216,3.0495986234554318,5.111987788356544,3.1354942159291497,4.709530201312334,4.0123492621674846,4.48863636973214,0.8712237583205324,0.8953145917001338,0.7841295685573222,0.816496580927726,1.2288663387298584,1.3104304075241089,1.2566145062446594,1.1017637252807617,1.2001368403434753,1.0615882873535156,2.7058230259275198,3.6109179126442243,3.312696184003978,3.817712325956905,0.39870239794254303,0.5960701107978821,0.18014764785766602,0.2374238669872284,0.0833740234375,0.16900634765625,0.35
6028,weight_0.45,1.971228690835101,2.419877319520903,7.881394860222396,2.9622902259698,6.666666666666667,66.66666666666667,0.18394231796264648,1.7474023026050678,0.40894944276621104,1.9944920232821373,2.3978952727983707,2.4814223151299535,2.8903717578961645,2.585241997519076,2.833213344056216,3.345421138709282,5.111987788356544,2.962127898707266,4.709530201312334,3.838931750339105,4.48863636973214,0.904330065359477,0.8953145917001338,0.7592017038521628,0.816496580927726,1.274959146976471,1.3104304075241089,1.2857060432434082,1.1017637252807617,1.2354065775871277,1.0615882873535156,2.7647145437557112,3.6109179126442243,3.0816574020173206,3.817712325956905,0.3875461369752884,0.5960701107978821,0.1713084876537323,0.2374238669872284,0.094329833984375,0.16900634765625,0.45
6028,weight_0.55,2.221394458250189,2.774467256595725,7.710893571343968,2.9622902259698,6.666666666666667,66.66666666666667,0.3028929829597473,1.1521454771291024,0.49247648509779385,2.2154083994216567,2.3978952727983707,2.3978952727983707,2.8903717578961645,2.5619819897016294,2.833213344056216,2.53602196111245,5.111987788356544,3.5573847241832315,4.709530201312334,3.2498935203279267,4.48863636973214,0.9098039215686274,0.8953145917001338,0.7525383548025506,0.816496580927726,1.3262906074523926,1.3104304075241089,1.404656708240509,1.1017637252807617,1.3082498908042908,1.0615882873535156,2.5619819897016294,3.6109179126442243,3.111288134035684,3.817712325956905,0.38181324303150177,0.5960701107978821,0.1612095683813095,0.2374238669872284,0.114166259765625,0.16900634765625,0.55
6028,weight_0.65,2.150930066299617,2.5966550302864198,6.560328529476805,2.9622902259698,6.666666666666667,66.66666666666667,0.4180925488471985,1.4240887201425414,0.49247648509779385,1.9944920232821373,2.3978952727983707,2.3978952727983707,2.8903717578961645,2.3978952727983707,2.833213344056216,3.2896256060050506,5.111987788356544,3.2854414811697925,4.709530201312334,3.998158615898373,4.48863636973214,0.8938984873004181,0.8953145917001338,0.7967110864130733,0.816496580927726,1.4605906009674072,1.3104304075241089,1.5198562741279602,1.1017637252807617,1.4002091884613037,1.0615882873535156,2.4414009612931853,3.6109179126442243,3.172818180414298,3.817712325956905,0.3845384269952774,0.5960701107978821,0.15210703760385513,0.2374238669872284,0.155670166015625,0.16900634765625,0.65
6029,weight_0.35,1.3185394726488617,1.779610614668819,8.412201170826274,2.9365055408958605,6.666666666666667,80.0,0.11369907855987549,1.2481888004018682,0.11778303565638337,2.3502401828962083,2.4849066497880004,2.772588722239781,2.8903717578961645,2.9700856263602153,3.044522437723423,3.0433873634561532,4.543294782270004,3.3865401878277677,4.634728988229636,3.4396779022302195,4.204692619390966,0.8866310160427807,0.8585365853658536,0.826578589664409,0.8168899108266634,1.2254403829574585,1.3746683597564697,1.183436393737793,1.2971354722976685,1.2036668062210083,1.1882182359695435,2.8417898836693407,3.6375861597263857,3.6941639297885533,3.676300671907076,0.4178769141435623,0.5702724456787109,0.19087062776088715,0.25343936681747437,0.076690673828125,0.10955810546875,0.35
6029,weight_0.45,1.1637086721544252,1.4311604425545585,6.098381101130313,2.9365055408958605,6.666666666666667,80.0,0.06713294982910156,0.8327800039686952,0.11973998531695162,2.2975599250672953,2.4849066497880004,2.770631772579213,2.8903717578961645,2.8995463272302633,3.044522437723423,3.319937916913268,4.543294782270004,3.8019489842609406,4.634728988229636,3.561836392602304,4.204692619390966,0.8682385603212033,0.8585365853658536,0.7871265696903197,0.8168899108266634,1.2775102257728577,1.3746683597564697,1.230002522468567,1.2971354722976685,1.2210643887519836,1.1882182359695435,2.8262445901343254,3.6375861597263857,3.427704399304964,3.676300671907076,0.4044686108827591,0.5702724456787109,0.17960750311613083,0.25343936681747437,0.0885009765625,0.10955810546875,0.45
6029,weight_0.55,1.0425476313710174,1.3740074701770955,5.413112454396254,2.9365055408958605,13.333333333333334,80.0,0.03657907247543335,0.8153890762915799,0.26162407188227377,2.4814223151299535,2.4849066497880004,2.6287476860138907,2.8903717578961645,2.8314802400679726,3.044522437723423,3.090008326826286,4.543294782270004,3.819339911938056,4.634728988229636,3.9300925287360826,4.204692619390966,0.873015873015873,0.8585365853658536,0.7955729515494152,0.8168899108266634,1.3523879647254944,1.3746683597564697,1.3337145447731018,1.2971354722976685,1.2487468719482422,1.1882182359695435,2.833213344056216,3.6375861597263857,3.2769667020129054,3.676300671907076,0.3958788961172104,0.5702724456787109,0.16792156547307968,0.25343936681747437,0.10833740234375,0.10955810546875,0.55
6029,weight_0.65,1.4194278241303668,1.6391249107477286,7.040212020857643,2.9365055408958605,6.666666666666667,80.0,0.10794240236282349,0.5953848736146998,0.49247648509779385,2.34106561356211,2.4849066497880004,2.3978952727983707,2.8903717578961645,2.8029010331479984,3.044522437723423,3.1934396596813226,4.543294782270004,4.039344114614936,4.634728988229636,3.3485171238332425,4.204692619390966,0.875,0.8585365853658536,0.7815225096964123,0.8168899108266634,1.4689539670944214,1.3746683597564697,1.405077874660492,1.2971354722976685,1.2913081645965576,1.1882182359695435,2.6020033435383976,3.6375861597263857,3.4404489124061275,3.676300671907076,0.39427223801612854,0.5702724456787109,0.15732983499765396,0.25343936681747437,0.14520263671875,0.10955810546875,0.65
6047,weight_0.35,1.3054256303518468,1.7530710406090348,7.687524533578523,4.063601437418675,6.666666666666667,33.333333333333336,0.04957801103591919,1.44950054229711,0.31715334026850606,2.5249280036247685,2.1383330595080277,3.131699131295812,3.448852471564318,3.384246605824315,3.5614333292995415,2.9753212762938634,4.526784798013117,3.1073040492110957,4.556804591508206,3.4811217321331034,3.9845923882612655,0.8825629135226658,0.8736479842674533,0.8033689953253074,0.8174339980922729,1.178516924381256,1.2793259024620056,1.1251598000526428,1.174737811088562,1.09967839717865,1.1723089814186096,3.569433499972762,3.7494348669884654,3.255129170261575,3.6372397793869355,0.5204390287399292,0.6723582446575165,0.27898311614990234,0.307731568813324,0.048858642578125,0.091400146484375,0.35
6047,weight_0.45,1.2085759247995431,1.5840121349698777,7.019148362315618,4.063601437418675,6.666666666666667,33.333333333333336,0.008600473403930664,1.1143054455784451,0.4644986915716349,2.3502401828962083,2.1383330595080277,2.984353779992683,3.448852471564318,3.262514828921731,3.5614333292995415,2.8392323333359553,4.526784798013117,3.4424991459297605,4.556804591508206,3.772166054026844,3.9845923882612655,0.87838793284381,0.8736479842674533,0.7595102829062161,0.8174339980922729,1.2304279804229736,1.2793259024620056,1.1661373376846313,1.174737811088562,1.1371427178382874,1.1723089814186096,3.4011973816621555,3.7494348669884654,3.1967953769753157,3.6372397793869355,0.4934130162000656,0.6723582446575165,0.2556196302175522,0.307731568813324,0.0570068359375,0.091400146484375,0.45
