sample_id,T4_second_order_trimmed_mean,scan_count,scan_rq_mad,scan_rq_iqr
6022,1.4471265822649002,6,0.4900764524936676,0.8071263581514359
6028,5.7479071617126465,4,0.0761303901672363,0.939018189907074
6029,2.3621323108673096,4,0.1747394800186157,0.3053221702575683
6033,2.2941808700561523,4,0.0056561231613159,0.0661059617996215
6047,4.191615502039592,8,1.3406689167022705,3.554279923439026
6048,1.9803074598312376,2,0.1121295690536499,0.1121295690536499
6056,2.764359931151072,26,0.142206072807312,0.310454785823822
6057,4.548365879058838,7,0.1132745742797851,0.1676557064056396
6062,3.074277698993683,6,0.1394320726394655,0.2515829205513005
6063,5.763735413551331,6,0.1235420703887939,0.3687413930892944
6070,2.6383082469304404,8,0.1430048942565918,0.5100185871124268
6072,1.269736334681511,14,0.2143293619155883,0.4044889509677887
6078,1.431350588798523,8,0.1977169513702391,0.4234181046485901
6080,3.5164570808410645,4,0.2279844284057615,0.5377658009529114
6081,1.122542753815651,6,0.0415923595428466,0.4289991110563278
6082,1.8729759057362871,3,0.107460141181946,0.1210819482803344
6084,1.765614032745361,7,0.2143498659133911,0.7202243208885193
6085,2.74203884601593,4,0.0932520627975463,0.2355974316596985
6090,2.7626312573750815,3,0.0856060981750488,0.2341617345809936
6094,2.4914984362465993,16,1.318937100470066,2.901306837797165
6095,7.420876423517863,8,3.8531160354614262,6.704929709434509
6099,10.26789697011312,5,0.1295146942138654,0.1740522384643537
6101,1.193656861782074,4,0.1582279801368713,0.3538518846035003
