sample_id,T1_first_order_median_rq,T2_second_order_median_rq,T3_second_order_log_median,T4_second_order_trimmed_mean,T5_second_order_huber_location,T6_quality_weighted_second_order,T7_roughness_latent_factor,T8_multi_output_descriptor_target,scan_count,scan_rq_mad,scan_rq_iqr,T1_first_order_median_rq_rank,T2_second_order_median_rq_rank,T3_second_order_log_median_rank,T4_second_order_trimmed_mean_rank,T5_second_order_huber_location_rank,T6_quality_weighted_second_order_rank,T7_roughness_latent_factor_rank,T8_multi_output_descriptor_target_rank
6022,1.6493402247579043,1.6494020223617554,1.4984732873010456,1.4471265822649002,1.4984732873010456,1.5161724785963695,1.6494020223617554,1.6494020223617554,6,0.4900764524936676,0.8071263581514359,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6028,6.07256439790624,5.783085823059082,5.747799509503911,5.7479071617126465,5.747799509503911,4.920198023319244,5.783085823059082,5.783085823059082,4,0.07613039016723633,0.939018189907074,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
6029,2.5610249171691337,2.434478998184204,2.361024144492726,2.3621323108673096,2.361024144492726,2.4203683137893677,2.434478998184204,2.434478998184204,4,0.17473948001861572,0.30532217025756836,9.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0
6033,2.539230308280678,2.2941808700561523,2.2941808700561523,2.2941808700561523,2.2941808700561523,2.354630708694458,2.2941808700561523,2.2941808700561523,4,0.005656123161315918,0.06610596179962158,7.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0
6047,3.3485361203576183,3.3492701053619385,4.993540926995248,4.191615502039592,4.993540926995248,4.23758390545845,3.3492701053619385,3.3492701053619385,8,1.3406689167022705,3.554279923439026,15.0,16.0,19.0,18.0,19.0,18.0,16.0,16.0
6048,2.547742860528005,1.9803074598312376,1.9771303940830742,1.9803074598312378,1.9771303940830742,1.9803074598312378,1.9803074598312376,1.9803074598312376,2,0.1121295690536499,0.1121295690536499,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0
6056,3.2253759375055298,2.825535535812378,2.815659788030881,2.764359931151072,2.815659788030881,2.750147287662213,2.825535535812378,2.825535535812378,26,0.142206072807312,0.310454785823822,14.0,13.0,14.0,15.0,14.0,14.0,13.0,13.0
6057,5.337333424909866,4.551929473876953,4.551929473876953,4.548365879058838,4.551929473876953,4.542513506753104,4.551929473876953,4.551929473876953,7,0.11327457427978516,0.16765570640563965,19.0,19.0,18.0,19.0,18.0,19.0,19.0,19.0
6062,3.0923655415462123,3.093057870864868,3.0918932936923422,3.074277698993683,3.0918932936923422,3.3678022623062134,3.093057870864868,3.093057870864868,6,0.13943207263946555,0.2515829205513005,11.0,15.0,16.0,16.0,16.0,16.0,15.0,15.0
6063,5.867181940726434,5.810209274291992,5.809229391153888,5.763735413551331,5.809229391153888,5.6883541742960615,5.810209274291992,5.810209274291992,6,0.12354207038879395,0.36874139308929443,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
6070,3.0472295308216166,2.8089470863342285,2.7868254518960804,2.6383082469304404,2.7868254518960804,2.586154133081436,2.8089470863342285,2.8089470863342285,8,0.1430048942565918,0.5100185871124268,10.0,12.0,13.0,12.0,13.0,12.0,12.0,12.0
6072,1.4701149256907269,1.4702255725860596,1.2490259568977917,1.269736334681511,1.2490259568977917,1.2616959597383226,1.4702255725860596,1.4702255725860596,14,0.21432936191558838,0.4044889509677887,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0
6078,2.114030502852253,1.7082476019859314,1.3542330428797347,1.431350588798523,1.3542330428797347,1.46942138671875,1.7082476019859314,1.7082476019859314,8,0.19771695137023915,0.4234181046485901,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0
6080,4.401600455119694,4.106542229652405,3.5140999883125197,3.5164570808410645,3.5140999883125197,3.6975074410438538,4.106542229652405,4.106542229652405,4,0.2279844284057615,0.5377658009529114,17.0,18.0,17.0,17.0,17.0,17.0,18.0,18.0
6081,3.1814768073596182,1.5293935537338257,0.9962994295300635,1.122542753815651,0.9962994295300635,1.2514194250106812,1.5293935537338257,1.5293935537338257,6,0.04159235954284668,0.4289991110563278,13.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0
6082,1.8636132814417,1.8638947010040283,1.8638947010040283,1.8729759057362874,1.8638947010040283,1.8729759057362874,1.8638947010040283,1.8638947010040283,3,0.10746014118194602,0.12108194828033447,4.0,7.0,8.0,7.0,8.0,6.0,7.0,7.0
6084,2.0129025114755525,1.5506356358528135,1.6137787103652954,1.7656140327453613,1.6137787103652954,1.8812692165374756,1.5506356358528135,1.5506356358528135,7,0.2143498659133911,0.7202243208885193,5.0,4.0,6.0,6.0,6.0,7.0,4.0,4.0
6085,3.1256623124855496,2.74203884601593,2.7419081025680994,2.74203884601593,2.7419081025680994,2.626470148563385,2.74203884601593,2.74203884601593,4,0.09325206279754639,0.2355974316596985,12.0,11.0,12.0,13.0,12.0,13.0,11.0,11.0
6090,4.685108054915396,2.861668348312378,2.861668348312378,2.7626312573750815,2.861668348312378,2.7626312573750815,2.861668348312378,2.861668348312378,3,0.08560609817504883,0.23416173458099365,18.0,14.0,15.0,14.0,15.0,15.0,14.0,14.0
6094,4.09236633739849,4.0928850173950195,1.6677940052988696,2.4914984362465993,1.6677940052988696,2.48083599191159,4.0928850173950195,4.0928850173950195,16,1.318937100470066,2.901306837797165,16.0,17.0,7.0,11.0,7.0,11.0,17.0,17.0
6095,9.867135055037576,9.791423797607422,8.380146625196861,7.420876423517863,8.380146625196861,8.195178478956223,9.791423797607422,9.791423797607422,8,3.8531160354614267,6.704929709434509,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
6099,10.321437288163786,10.296222686767578,10.296222686767576,10.267896970113119,10.296222686767576,10.864346504211426,10.296222686767578,10.296222686767578,5,0.1295146942138654,0.1740522384643537,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
6101,1.4174391720857311,1.0115480422973633,1.1873589667255686,1.193656861782074,1.1873589667255686,1.1204886138439178,1.0115480422973633,1.0115480422973633,4,0.15822798013687134,0.35385188460350037,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
