method,group_count,median_true_rq_nm,median_generated_rq_nm,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_generated_pairwise_l1,median_real_pairwise_l1,median_diversity_ratio,median_unit_l1,median_unit_rmse,median_ssim,median_gradient_mae,median_physical_ra_error_nm,median_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,median_psd_low_band_error,median_psd_mid_band_error,median_psd_high_band_error,median_psd_slope_error,median_correlation_length_abs_error_nm,median_correlation_length_relative_error,median_anisotropy_error,median_skewness_error,median_kurtosis_error,median_height_quantile_error,median_ra_rq_error,median_physical_psd_distance,median_physical_correlation_length_error_nm,median_ssim_penalty,median_composite_score,median_nearest_training_l1,median_max_training_ssim,median_exact_training_pixel_equality,median_generated_mean_gradient,median_real_mean_gradient,median_mean_gradient_relative_error,median_generated_rms_gradient,median_real_rms_gradient,median_rms_gradient_relative_error,median_generated_laplacian_rms,median_real_laplacian_rms,median_laplacian_rms_relative_error,median_generated_edge_energy_ratio,median_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,median_real_high_psd_fraction,median_high_psd_fraction_relative_error,median_generated_robust_height_range,median_real_robust_height_range,median_robust_height_range_relative_error,median_generated_skewness,median_real_skewness,median_skewness_relative_error,median_generated_kurtosis,median_real_kurtosis,median_kurtosis_relative_error,median_sharpness_ratio,median_afm_texture_gate_pass,texture_gate_pass_fraction
M16b_baseline_dense_microisland_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17a_fixed_sparse_peak_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17b_topology_sparse_peak_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17c_topology_sparse_finetexture_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17d_multiscale_texture_no_peak_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17e_broad_sparse_peak_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17f_broad_sparse_finetexture_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17g_moderate_broad_topology_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17h_hierarchical_sparse_island_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
M17i_soft_hierarchical_island_terrace,1,3.9266197681427,3.1211499677224896,0.8054698004202105,1.3174858093261719,1.1585935354232788,1.115925669670105,1.0382354012573145,1.1460256576538086,1.4264551401138306,0.02158978866290032,39.96984182279768,0.18042748467612713,1.9307706022262572,0.6775159245394953,3.9266159522695796,3.815873120593949e-06,1.2290981395504461,0.0015939098992395762,0.001535907184144995,5.800271509443255e-05,0.4877904539772828,23.62204724409449,0.75,0.0,0.7141649844337399,1.0474793167689045,0.26393047371080985,0.045949823760431774,1.2290981395504461,23.62204724409449,0.9784102113370997,8.687628398615002,1.0323989391326904,0.04070253324010228,0.0,0.27300602197647095,0.3866010904312134,0.2938301812031594,0.34654146432876587,0.48454707860946655,0.2848136339542972,0.3081774264574051,0.4838220030069351,0.3630355284751536,1.0225074887275696,1.053451806306839,0.02937421284392032,1.191030740737915,4.415119647979736,0.7302381734359328,2.546868558534714e-05,8.884709819257489e-05,0.7133425164866487,4.258202137947082,4.90963719367981,0.13268496836615998,0.2340551064153666,-0.6276959332007931,1.3728797560020114,2.4253441029220326,3.7256211580175598,0.34900946713203057,0.7061698187968406,1.0,1.0
