method,growth_group_count,median_cross_validation_fold,median_true_rq_nm,median_generated_rq_nm,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_generated_pairwise_l1,median_real_pairwise_l1,median_diversity_ratio,median_unit_l1,median_unit_rmse,median_ssim,median_gradient_mae,median_physical_ra_error_nm,median_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,median_psd_low_band_error,median_psd_mid_band_error,median_psd_high_band_error,median_psd_slope_error,median_correlation_length_abs_error_nm,median_correlation_length_relative_error,median_anisotropy_error,median_skewness_error,median_kurtosis_error,median_height_quantile_error,median_ra_rq_error,median_physical_psd_distance,median_physical_correlation_length_error_nm,median_ssim_penalty,median_composite_score,median_nearest_training_l1,median_max_training_ssim,median_exact_training_pixel_equality,median_generated_mean_gradient,median_real_mean_gradient,median_mean_gradient_relative_error,median_generated_rms_gradient,median_real_rms_gradient,median_rms_gradient_relative_error,median_generated_laplacian_rms,median_real_laplacian_rms,median_laplacian_rms_relative_error,median_generated_edge_energy_ratio,median_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,median_real_high_psd_fraction,median_high_psd_fraction_relative_error,median_generated_robust_height_range,median_real_robust_height_range,median_robust_height_range_relative_error,median_generated_skewness,median_real_skewness,median_skewness_relative_error,median_generated_kurtosis,median_real_kurtosis,median_kurtosis_relative_error,median_sharpness_ratio,median_afm_texture_gate_pass,texture_gate_pass_fraction
M5_cloudlike_spectral_hybrid,15,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.9863879680633545,1.1199389100074768,1.1030480861663818,1.0339247347777103,1.1250858306884766,1.416096568107605,0.006346456963716702,38.835554814623144,0.022785114309095356,0.5315919971466077,0.1557238819685276,3.0923626133876776,3.0091327691827985e-06,0.9253710764619187,0.0016918134673908902,0.0016460959756177023,6.34840551729487e-05,0.3429547490450533,31.496062992125985,0.56,0.16666666666666674,0.2918482298859632,0.3693360223777109,0.12348627306787055,0.007477321209904408,0.9253710764619187,31.496062992125985,0.9936535430362833,8.54472155731617,1.0492327213287354,0.03720861684962498,0.0,0.2939733862876892,0.3343275785446167,0.22007734415197058,0.33474230766296387,0.43132510781288147,0.2783798832074665,0.3917492777109146,0.4963996857404709,0.2594236632866466,1.0170233249664307,1.0176516771316528,0.0339836587017237,1.001322090625763,4.758741855621338,0.789582599559811,7.202735981048264e-05,8.677488393813045e-05,0.5714547116724074,4.743185724020004,4.812647156715393,0.027196567910203813,-0.09063868685514914,0.02843638546901522,0.9225689202045605,3.2533322837147276,3.432365839864702,0.0980914740647298,0.9385023985683347,1.0,0.8666666666666667
M6c_island_structure_plus_spectral_prior,15,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.8806869387626648,1.1223080158233643,1.1030480861663818,1.0179673700363479,1.1214349269866943,1.404771327972412,0.011962024491007396,36.94168389022231,0.047574665553657525,0.5041545152664177,0.16748250910203144,3.0923627778773874,3.0059877764720966e-06,1.0462154530659336,0.002027873133097269,0.001757791735164526,5.5492823661148675e-05,0.19936787003794842,39.37007874015748,1.0,0.19999999999999996,0.21392932542297347,0.4363279332327825,0.1111601761196342,0.01691823475869625,1.0462154530659336,39.37007874015748,0.9880379755089926,7.9900766305478355,1.0432283878326416,0.036114470645642306,0.0,0.24797601252794266,0.3343275785446167,0.2740358838260936,0.29304398596286774,0.43132510781288147,0.29605488192766116,0.3081323802471161,0.4963996857404709,0.37808305097456385,1.0189413726329803,1.0176516771316528,0.03377461666794668,1.0108753740787506,4.758741855621338,0.790707583965819,3.210060985716209e-05,8.677488393813045e-05,0.6850622937002278,4.588770568370819,4.812647156715393,0.054586234093378275,-0.01045155693013432,0.02843638546901522,0.9667515100922386,2.927600530217,3.432365839864702,0.1292431890882185,0.7666971435993163,1.0,0.7333333333333333
M7_structure_guided_residual_diffusion,15,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.739051878452301,1.13442063331604,1.1030480861663818,1.040024143811836,1.1202795505523682,1.4076565504074097,0.011256130994690984,36.44335188668934,0.05182054502138911,0.47202575683594006,0.24278214976522988,3.092362705334696,2.917185750739293e-06,0.8540201632884107,0.0017105017929237576,0.0016424617648265428,4.333268748054145e-05,0.1615862551257896,39.37007874015748,1.0,0.1071428571428572,0.30228634559075873,0.3920928051630801,0.15440077262797508,0.017674296012249124,0.8540201632884107,39.37007874015748,0.988743869005309,7.911177664991716,1.039517879486084,0.03201111888749208,0.0,0.2398858442902565,0.3343275785446167,0.2824826317514119,0.3253709375858307,0.43132510781288147,0.2583560335469531,0.35994023084640503,0.4963996857404709,0.28682951748072627,0.9651997685432434,1.0176516771316528,0.054608020377006,1.0717737078666687,4.758741855621338,0.7693565615893125,4.5550949137405636e-05,8.677488393813045e-05,0.5680757557580163,4.5434401476383215,4.812647156715393,0.04320834034357927,0.11033723114073687,0.02843638546901522,1.0231019373232415,2.919162754610775,3.432365839864702,0.08855260132781625,0.7175173682485881,1.0,0.8666666666666667
M8_island_diffusion_spectral_pareto,15,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.8436559438705444,1.1262360215187073,1.1030480861663818,1.025108072812333,1.1225261688232422,1.42099928855896,0.007564064134694223,36.123464683881295,0.06328424461581816,0.7072489309310903,0.1900160496553731,3.092362570869743,3.031673779130273e-06,0.9353194465855106,0.0017401185092471572,0.001688405796094148,5.7632416288559105e-05,0.16763882398206764,47.24409448818898,1.2,0.16666666666666674,0.20922042500596863,0.39906335365888523,0.12311416079423247,0.01846374679395535,0.9353194465855106,47.24409448818898,0.9924359358653058,7.839172259643665,1.0501186847686768,0.03132489965078553,0.0,0.23244674503803253,0.3343275785446167,0.30014885399500785,0.30350489914417267,0.43132510781288147,0.30578785035641515,0.30754509568214417,0.4963996857404709,0.3891042670371367,0.9894603490829468,1.0176516771316528,0.036916425744568826,1.0310837030410767,4.758741855621338,0.7943087309109063,2.9007027248000584e-05,8.677488393813045e-05,0.6734486908807996,4.524623809456825,4.812647156715393,0.05493155250904293,0.08883528832009613,0.02843638546901522,1.0873681209447243,2.777681373259664,3.432365839864702,0.12429638582226767,0.6998511460049922,1.0,0.7333333333333333
