cross_validation_fold,held_growth_group,fit_growth_group_count,training_steps,final_training_loss,median_final_100_training_loss,residual_scale,runtime_seconds
0,6028,14,900,0.12921082973480225,0.18562985956668854,0.3758655786514282,55.14948504199856
1,6029,14,900,0.10237181186676025,0.1943843960762024,0.3755771815776825,54.21521075000055
2,6047,14,900,0.1708667278289795,0.1874307319521904,0.3727928698062897,54.340875875001075
3,6048,14,900,0.10242681950330734,0.1756122186779976,0.37614232301712036,54.282246249997115
4,6057,14,900,0.16748417913913727,0.17455141991376877,0.3805963695049286,54.41261670800304
5,6062,14,900,0.1637660264968872,0.17437950521707535,0.3657493591308594,54.250533582999196
6,6063,14,900,0.09678902477025986,0.17478810250759125,0.3779355585575104,54.35146625000198
7,6070,14,900,0.11229731887578964,0.17429182678461075,0.3683452308177948,54.30095391700161
8,6072,14,900,0.13545140624046326,0.17054136842489243,0.35979387164115906,54.284870416006015
9,6078,14,900,0.15267035365104675,0.17349032312631607,0.37248778343200684,54.23971770800563
10,6082,14,900,0.126052588224411,0.17572035640478134,0.3761064112186432,54.22489483400568
11,6084,14,900,0.20035777986049652,0.18904651701450348,0.37495648860931396,54.27928691700072
12,6085,14,900,0.15857572853565216,0.18541691452264786,0.3796984553337097,54.23034383400227
13,6090,14,900,0.06892714649438858,0.1915329247713089,0.3800308108329773,54.25670362499659
14,6095,14,900,0.19233879446983337,0.19623292982578278,0.38025030493736267,54.249335375003284
