mode,row_id,sample_id,group_id,prototype_id,generated_index,rank,generated_std,generated_min,generated_max,generated_rq,requested_rq,generated_ra,requested_ra,generated_robust_range,requested_robust_range,generated_mean_abs_gradient,requested_mean_abs_gradient,generated_gradient_std,requested_gradient_std,generated_gradient_anisotropy,requested_gradient_anisotropy,generated_psd_low_power,requested_psd_low_power,generated_psd_mid_power,requested_psd_mid_power,generated_psd_high_power,requested_psd_high_power,generated_psd_slope,requested_psd_slope,generated_autocorrelation_length_px,requested_autocorrelation_length_px,generated_island_count,requested_island_count,generated_island_mean_area_px,requested_island_mean_area_px
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,0,,0.383506178855896,-0.9977851510047913,0.9926044344902039,0.3835061947198459,5.841896534,0.3080089562107814,4.556092739,1.7451438784599307,27.66728783,0.12388368957886806,1.131164074,0.0819839665592459,1.006361246,0.07163003797118328,0.1476658583,8.527128092589843,14.50712395,3.278215924527336,9.412350655,0.599684495170361,5.901864052,-4.243209208311171,-3.952002764,5.0,9.0,44.0,66.0,93.0909090909091,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,1,,0.3877173066139221,-0.9982616305351257,0.9795882701873779,0.3877173041439294,5.841896534,0.309812791366572,4.556092739,1.785531063079834,27.66728783,0.12169915885459552,1.131164074,0.083821477238805,1.006361246,0.11408900367408945,0.1476658583,8.573106725148829,14.50712395,3.5003470482853394,9.412350655,0.6253233152999746,5.901864052,-4.221762297775254,-3.952002764,6.0,9.0,42.0,66.0,97.52380952380952,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,2,,0.3932012915611267,-0.9873350858688354,0.970125138759613,0.393201307361951,5.841896534,0.31998144407457396,4.556092739,1.6898424768447875,27.66728783,0.13456992882599783,1.131164074,0.08934696397664764,1.006361246,0.19903509300818484,0.1476658583,8.712181671852504,14.50712395,3.477095458180479,9.412350655,0.6431516836785396,5.901864052,-4.2464311705565985,-3.952002764,5.0,9.0,51.0,66.0,80.31372549019608,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,3,,0.38476496934890747,-0.9974167346954346,0.9303202629089355,0.3847649679944066,5.841896534,0.3122922610347155,4.556092739,1.6972743815183642,27.66728783,0.13227405202135611,1.131164074,0.08857512921658214,1.006361246,0.09426407200370193,0.1476658583,8.633318315866363,14.50712395,3.2505474538945407,9.412350655,0.617553758397003,5.901864052,-4.2613205999494514,-3.952002764,5.0,9.0,49.0,66.0,83.59183673469387,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,4,,0.375472754240036,-0.9944450259208679,0.999567985534668,0.37547276125301177,5.841896534,0.3043583902298396,4.556092739,1.666616324186325,27.66728783,0.12578128402461025,1.131164074,0.08416195284778603,1.006361246,0.07593698979772152,0.1476658583,8.54310620751281,14.50712395,3.2048644107759685,9.412350655,0.5672638007504699,5.901864052,-4.288867981558725,-3.952002764,5.0,9.0,46.0,66.0,89.04347826086956,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,5,,0.3787882626056671,-0.9982976317405701,0.9566354155540466,0.3787882664639348,5.841896534,0.3072435430768392,4.556092739,1.6400096160173416,27.66728783,0.13224668759421554,1.131164074,0.08732107366338679,1.006361246,0.10564437216646767,0.1476658583,8.575204697667763,14.50712395,3.2025209218117086,9.412350655,0.5966430843046567,5.901864052,-4.234021590424378,-3.952002764,5.0,9.0,62.0,66.0,66.06451612903226,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,6,,0.38086962699890137,-0.9982665777206421,0.9844974875450134,0.38086964239080306,5.841896534,0.3030915009752505,4.556092739,1.732378420829773,27.66728783,0.1253229100714709,1.131164074,0.08808466427271847,1.006361246,0.09047264406169055,0.1476658583,8.59781059532754,14.50712395,3.259397418683067,9.412350655,0.5984632917132866,5.901864052,-4.278304155745229,-3.952002764,5.0,9.0,48.0,66.0,85.33333333333333,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,7,,0.38952234387397766,-0.9867628216743469,0.9918224811553955,0.38952232319359914,5.841896534,0.3192196328114031,4.556092739,1.6874983417987823,27.66728783,0.1294253761888997,1.131164074,0.08597063641933574,1.006361246,0.08559459296278026,0.1476658583,8.650692140489667,14.50712395,3.42324475942391,9.412350655,0.615607564113659,5.901864052,-4.261528134118337,-3.952002764,5.0,9.0,48.0,66.0,85.33333333333333,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,8,,0.3657892346382141,-0.998059868812561,0.9992535710334778,0.3657892316113652,5.841896534,0.287691556445827,4.556092739,1.700348678827286,27.66728783,0.11950278874664552,1.131164074,0.08022274449538952,1.006361246,0.12413377939410153,0.1476658583,8.481030964556874,14.50712395,3.2231292415769386,9.412350655,0.6009023758934006,5.901864052,-4.22377042805864,-3.952002764,5.0,9.0,52.0,66.0,78.76923076923077,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,9,,0.37583109736442566,-0.9884389638900757,0.9883418083190918,0.3758311010948517,5.841896534,0.3028938250928005,4.556092739,1.6929506540298465,27.66728783,0.1301447960041951,1.131164074,0.08471176897507714,1.006361246,0.03194485370441165,0.1476658583,8.594947599269242,14.50712395,3.353068128796793,9.412350655,0.6158000109628647,5.901864052,-4.235074023606332,-3.952002764,5.0,9.0,46.0,66.0,89.04347826086956,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,10,,0.3739614486694336,-0.9985081553459167,0.9977282881736755,0.37396146853036544,5.841896534,0.30018608087261056,4.556092739,1.7407462173700332,27.66728783,0.12817336864963458,1.131164074,0.08964864974673944,1.006361246,0.11877547438505322,0.1476658583,8.605894233000761,14.50712395,3.338317296282052,9.412350655,0.6232157805955069,5.901864052,-4.200467785906407,-3.952002764,5.0,9.0,48.0,66.0,85.33333333333333,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,11,,0.362399697303772,-0.9918562173843384,0.976642370223999,0.3623996938244519,5.841896534,0.2886184831451941,4.556092739,1.7248748725652696,27.66728783,0.123957931039262,1.131164074,0.08564168406334405,1.006361246,0.0667107850215248,0.1476658583,8.603426676733223,14.50712395,3.546402725377407,9.412350655,0.6385494005581666,5.901864052,-4.191594167922665,-3.952002764,5.0,9.0,59.0,66.0,69.42372881355932,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,12,,0.35607853531837463,-0.9908604621887207,0.9987009763717651,0.35607854487281815,5.841896534,0.2799908919759192,4.556092739,1.7130711376667023,27.66728783,0.1224539420415045,1.131164074,0.0813369752431186,1.006361246,0.0804778126373557,0.1476658583,8.569284265799208,14.50712395,3.546471648664385,9.412350655,0.6182364387260717,5.901864052,-4.190636917504196,-3.952002764,5.0,9.0,55.0,66.0,74.47272727272727,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,13,,0.369072824716568,-0.9934250712394714,0.9975249767303467,0.36907282181344564,5.841896534,0.2989166324380655,4.556092739,1.629375422000885,27.66728783,0.1306079816707834,1.131164074,0.08844058548846298,1.006361246,0.05001064577682037,0.1476658583,8.576252134782925,14.50712395,3.1880020316303956,9.412350655,0.5770838100231196,5.901864052,-4.251459437303862,-3.952002764,5.0,9.0,51.0,66.0,80.31372549019608,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,14,,0.38314521312713623,-0.9952252507209778,0.9966194033622742,0.3831452148415261,5.841896534,0.31405622447290465,4.556092739,1.7164589703083037,27.66728783,0.12364054242686881,1.131164074,0.08400592149182523,1.006361246,0.12710505636659533,0.1476658583,8.496249595315847,14.50712395,3.052939419597643,9.412350655,0.5440653745646534,5.901864052,-4.316702059003051,-3.952002764,5.0,9.0,51.0,66.0,80.31372549019608,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,15,,0.37915515899658203,-0.992141604423523,0.9863871932029724,0.37915516453834924,5.841896534,0.3041718429512293,4.556092739,1.7103966641426087,27.66728783,0.1285324230824384,1.131164074,0.08808793304809982,1.006361246,0.055646499262445456,0.1476658583,8.559103572259763,14.50712395,3.197148553429453,9.412350655,0.5829040088102815,5.901864052,-4.264853970616949,-3.952002764,5.0,9.0,46.0,66.0,89.04347826086956,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,0,,0.37087318301200867,-0.9993814826011658,0.9987396001815796,0.37087319668590485,5.841896534,0.29760061147468264,4.556092739,1.6893374836444854,27.66728783,0.12762697440331014,1.131164074,0.0881869930911416,1.006361246,0.029594434320215576,0.1476658583,8.60769085257474,14.50712395,3.400359488814669,9.412350655,0.5894396466747972,5.901864052,-4.263682858827127,-3.952002764,5.0,9.0,47.0,66.0,87.14893617021276,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,1,,0.37398096919059753,-0.9953116774559021,0.9999172687530518,0.37398095853789326,5.841896534,0.3022526398829375,4.556092739,1.7220595383644104,27.66728783,0.1277852400848678,1.131164074,0.08348759476217979,1.006361246,0.07673678424382267,0.1476658583,8.598359800476175,14.50712395,3.3452680210933,9.412350655,0.6082656313214793,5.901864052,-4.246178816410495,-3.952002764,5.0,9.0,62.0,66.0,66.06451612903226,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,2,,0.38536930084228516,-0.999115526676178,0.9948362112045288,0.3853692985561448,5.841896534,0.3114835496727216,4.556092739,1.7307970297336581,27.66728783,0.1382520915048539,1.131164074,0.09594479921615426,1.006361246,0.09819710749390982,0.1476658583,8.740045953153077,14.50712395,3.385367298618187,9.412350655,0.6793395725993385,5.901864052,-4.18374660525045,-3.952002764,5.0,9.0,54.0,66.0,75.85185185185185,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,3,,0.375369131565094,-0.9978376030921936,0.9868848323822021,0.3753691502201889,5.841896534,0.30061956981100374,4.556092739,1.7165053194761277,27.66728783,0.12773294712108396,1.131164074,0.08474365841362186,1.006361246,0.12441755662998047,0.1476658583,8.5549812515379,14.50712395,3.4630350303769237,9.412350655,0.6197565172171717,5.901864052,-4.177559768850933,-3.952002764,5.0,9.0,52.0,66.0,78.76923076923077,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,4,,0.3765532076358795,-0.9971426725387573,0.9522823095321655,0.3765532309498431,5.841896534,0.30498645188312923,4.556092739,1.7009363591670992,27.66728783,0.12679063723338885,1.131164074,0.08327803625033404,1.006361246,0.11093833096766209,0.1476658583,8.53067063389784,14.50712395,3.3684755319992066,9.412350655,0.6176085841768776,5.901864052,-4.2016111030466305,-3.952002764,5.0,9.0,62.0,66.0,66.06451612903226,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,5,,0.3993664085865021,-0.9953669905662537,0.9723380208015442,0.39936639514736966,5.841896534,0.32472518329315136,4.556092739,1.7340019208192825,27.66728783,0.1306380876920538,1.131164074,0.08928181660751185,1.006361246,0.061978111877301074,0.1476658583,8.63605468562496,14.50712395,3.423294107290928,9.412350655,0.6284775539198935,5.901864052,-4.2439932158439815,-3.952002764,5.0,9.0,51.0,66.0,80.31372549019608,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,6,,0.3715786933898926,-0.9980788230895996,0.9949381947517395,0.3715786746323206,5.841896534,0.299521937878075,4.556092739,1.6815491569042207,27.66728783,0.126352960126572,1.131164074,0.08344294470596238,1.006361246,0.15414868549317617,0.1476658583,8.515887478708773,14.50712395,2.983451016420197,9.412350655,0.5663554587915252,5.901864052,-4.267661451139724,-3.952002764,5.0,9.0,50.0,66.0,81.92,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,7,,0.37315770983695984,-0.9997733235359192,0.987248957157135,0.3731577112883019,5.841896534,0.2974698690998035,4.556092739,1.6907886415719986,27.66728783,0.13144449260340096,1.131164074,0.0886810301637427,1.006361246,0.13820305350779377,0.1476658583,8.603119625528134,14.50712395,3.322481779368341,9.412350655,0.6798912496206175,5.901864052,-4.135464214465588,-3.952002764,5.0,9.0,59.0,66.0,69.42372881355932,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,8,,0.3662995398044586,-0.9984207153320312,0.9754504561424255,0.36629955317425167,5.841896534,0.29303437354892714,4.556092739,1.6596570247411728,27.66728783,0.12844718674306316,1.131164074,0.08772487665477244,1.006361246,0.08265730097489832,0.1476658583,8.496418210525414,14.50712395,2.847695049763276,9.412350655,0.5394094551282385,5.901864052,-4.287184224656691,-3.952002764,5.0,9.0,58.0,66.0,70.62068965517241,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,9,,0.37795141339302063,-0.9922652840614319,0.9976573586463928,0.37795142242319574,5.841896534,0.3035618893646185,4.556092739,1.6584043955802918,27.66728783,0.13106054131830397,1.131164074,0.08700352416224769,1.006361246,0.14344233878009968,0.1476658583,8.594107882168084,14.50712395,3.3264168091344897,9.412350655,0.6207197939506699,5.901864052,-4.2089495736912825,-3.952002764,5.0,9.0,51.0,66.0,80.31372549019608,248.2424316
