generator,growth_count,mean_gradient_relative_error,laplacian_rms_relative_error,high_psd_fraction_relative_error,texture_gate_pass_fraction,island_feature_mae_z,afm_likeness_percentile,fsmi_mae_nm
M16a_regime_adaptive_terrace,28,0.462985,0.896596,12.347796,0.607143,2.005089,10.076531,0.946866
M16b_regime_adaptive_microisland_terrace,28,0.262861,0.450495,0.818725,0.821429,1.724302,10.969388,0.955437
