prior,row_id,candidate_index,scale_nm_per_unit,offset_nm,clamped,calibration_error,target_rq,before_rq,after_rq,target_ra,before_ra,after_ra,target_robust_range,before_robust_range,after_robust_range,rank
v2,afmv2_06e9a8457ab9,0,13.083958545440083,0.0,False,0.3398553614782374,5.841896534,0.6203140784292248,8.116163736908627,4.556092739,0.5446481584923462,7.126153971062264,27.66728783,1.9746734201908112,25.836545362472535,2
v2,afmv2_06e9a8457ab9,1,13.005840257212192,0.0,False,0.35243469103451935,5.841896534,0.6305525333435834,8.200865553860908,4.556092739,0.5548549776312981,7.216355232240432,27.66728783,1.979214043021202,25.741341695785522,
v2,afmv2_06e9a8457ab9,2,13.09037479867485,0.0,False,0.3487636176438276,5.841896534,0.6258723320430142,8.19290349392571,4.556092739,0.5482138766215253,7.176325195544088,27.66728783,1.968259391784668,25.76525318145752,4
v2,afmv2_06e9a8457ab9,3,12.98802943756549,0.0,False,0.3549851270562974,5.841896534,0.6336995330501409,8.230508215999075,4.556092739,0.5562327232256061,7.224367005574734,27.66728783,1.9801841789484023,25.71869095802307,
v2,afmv2_06e9a8457ab9,4,13.115324523696277,0.0,False,0.3521708128850187,5.841896534,0.6257314478694476,8.20667128562519,4.556092739,0.5496049161362769,7.2082470827491445,27.66728783,1.9627041721343994,25.74150260925293,
v2,afmv2_06e9a8457ab9,5,13.060649644975916,0.0,False,0.34640322003004026,5.841896534,0.6257611915812329,8.172847823581327,4.556092739,0.5484278427201132,7.1628240305434225,27.66728783,1.9741896331310271,25.784199647903442,
v2,afmv2_06e9a8457ab9,6,13.048846450773551,0.0,False,0.3465077891665855,5.841896534,0.626098255943372,8.169859876674755,4.556092739,0.5492134322222977,7.166601633311151,27.66728783,1.975983772277832,25.784309101104736,
v2,afmv2_06e9a8457ab9,7,12.981598849935926,0.0,False,0.3657137559665015,5.841896534,0.6398522532524868,8.306305275462739,4.556092739,0.562181258196482,7.298011575952405,27.66728783,1.9746707415580749,25.634383850097656,
v2,afmv2_06e9a8457ab9,8,13.13453694004386,0.0,False,0.34184225270073015,5.841896534,0.619101988871544,8.131617821537125,4.556092739,0.5435078813391256,7.138724238255721,27.66728783,1.9658976340293886,25.821154499053954,
v2,afmv2_06e9a8457ab9,9,12.988093218038644,0.0,False,0.36144755126914435,5.841896534,0.6362215529456321,8.263304936755643,4.556092739,0.5604608743422262,7.279318168721555,27.66728783,1.976527127623558,25.671319284439086,
v2,afmv2_06e9a8457ab9,10,13.042104458553892,0.0,False,0.3496522799745194,5.841896534,0.62915827096517,8.205548053417646,4.556092739,0.5503118170520203,7.177224346045581,27.66728783,1.9748988723754883,25.75683750152588,
v2,afmv2_06e9a8457ab9,11,13.111242154018928,0.0,False,0.3442880646939039,5.841896534,0.621478297544458,8.148352538138322,4.556092739,0.5457958239122529,7.15606128944325,27.66728783,1.9679816788434983,25.802684173583984,
v2,afmv2_06e9a8457ab9,12,13.030035474634397,0.0,False,0.36777172386466095,5.841896534,0.6357681289162992,8.284080984850815,4.556092739,0.5634898714292825,7.342292758527137,27.66728783,1.9667802965641021,25.627215700149534,
v2,afmv2_06e9a8457ab9,13,13.032670821996694,0.0,False,0.3515422661657575,5.841896534,0.6294044915157604,8.202821646263917,4.556092739,0.5527212856504521,7.203434655041721,27.66728783,1.975513511300087,25.746217317581177,
v2,afmv2_06e9a8457ab9,14,13.093873441330796,0.0,False,0.3483752262574313,5.841896534,0.6252107913160121,8.186430715270154,4.556092739,0.5480966032321469,7.176707327605844,27.66728783,1.9680315482616426,25.769155769348146,
v2,afmv2_06e9a8457ab9,15,13.01724580291872,0.0,False,0.36161073334849264,5.841896534,0.6339695215026065,8.252537375964113,4.556092739,0.5600432165607209,7.290220459840042,27.66728783,1.972228552699089,25.672984733581544,
v2,afmv2_06e9a8457ab9,16,12.981269491129936,0.0,False,0.36512172291759554,5.841896534,0.6378165583837774,8.279668848626992,4.556092739,0.5633032978508523,7.312392107452892,27.66728783,1.9755155873298644,25.644700365066527,
v2,afmv2_06e9a8457ab9,17,13.062845756896056,0.0,False,0.35304441468843933,5.841896534,0.6292714166386202,8.220075725837152,4.556092739,0.5518189019622307,7.208325439625425,27.66728783,1.9699345499277114,25.732951440811156,
v2,afmv2_06e9a8457ab9,18,13.04179962013675,0.0,False,0.3343366277207284,5.841896534,0.619488397910717,8.079243501045731,4.556092739,0.543350645428516,7.086270195906616,27.66728783,1.9842014604806901,25.877558040618897,
v2,afmv2_06e9a8457ab9,19,12.971946127862214,0.0,False,0.36200713185581374,5.841896534,0.6379711916951113,8.27572769420088,4.556092739,0.5609185242324053,7.276204671482283,27.66728783,1.9784849995374678,25.66480037689209,
v2,afmv2_06e9a8457ab9,20,12.995072210970466,0.0,False,0.3551694511000321,5.841896534,0.6347352493200503,8.24843049818842,4.556092739,0.5549788220447616,7.211989953864659,27.66728783,1.9786816853284837,25.71311107635498,
