prior,row_id,sample_id,group_id,candidate_index,calibration_mode,scale_nm_per_unit,offset_nm,scale_clamped,unclamped_scale_nm_per_unit,score,roughness_error,texture_error,realness_penalty,visual_richness_bonus,duplicate_penalty,normalized_std,calibrated_std_nm,nonconstant,requested_rq,uncalibrated_rq,calibrated_rq,requested_ra,uncalibrated_ra,calibrated_ra,requested_robust_range,uncalibrated_robust_range,calibrated_robust_range,requested_mean_abs_gradient,uncalibrated_mean_abs_gradient,calibrated_mean_abs_gradient,requested_gradient_std,uncalibrated_gradient_std,calibrated_gradient_std,requested_gradient_anisotropy,uncalibrated_gradient_anisotropy,calibrated_gradient_anisotropy,requested_psd_low_power,uncalibrated_psd_low_power,calibrated_psd_low_power,requested_psd_mid_power,uncalibrated_psd_mid_power,calibrated_psd_mid_power,requested_psd_high_power,uncalibrated_psd_high_power,calibrated_psd_high_power,requested_psd_slope,uncalibrated_psd_slope,calibrated_psd_slope,requested_autocorrelation_length_px,uncalibrated_autocorrelation_length_px,calibrated_autocorrelation_length_px,requested_island_count,uncalibrated_island_count,calibrated_island_count,requested_island_mean_area_px,uncalibrated_island_mean_area_px,calibrated_island_mean_area_px,rank
v2,afmv2_06e9a8457ab9,6058,6058,0,weighted_rq_ra_range,13.083958545440083,0.0,False,13.083958545440083,0.7267563179111849,0.6704203720527517,0.14449372471145405,0.0,0.29629516955365026,0.0,0.6203140616416931,8.116164207458496,True,5.841896534,0.6203140784292248,8.116163736908627,4.556092739,0.5446481584923462,7.126153971062264,27.66728783,1.9746734201908112,25.836545362472535,1.131164074,0.17340364990902113,2.268806181623468,1.006361246,0.13301798625552536,1.7404018283829017,0.1476658583,0.14015106219654633,0.1401510607939153,14.50712395,9.159053865455382,14.300939526110088,9.412350655,4.014657828694053,9.137516538762497,5.901864052,1.3062174663849992,6.035222968175065,-3.952002764,-3.9687413712187998,-3.968741305216033,9.0,6.0,6.0,66.0,37.0,37.0,248.2424316,110.70270270270271,110.70270270270271,2
v2,afmv2_06e9a8457ab9,6058,6058,1,weighted_rq_ra_range,13.005840257212192,0.0,False,13.005840257212192,0.9085419659890911,0.6952580912651493,0.33787587200208546,0.0,0.28508411438863235,0.0,0.6305525302886963,8.200865745544434,True,5.841896534,0.6305525333435834,8.200865553860908,4.556092739,0.5548549776312981,7.216355232240432,27.66728783,1.979214043021202,25.741341695785522,1.131164074,0.16375355191729757,2.129752545957426,1.006361246,0.12783988873600013,1.6626651782108042,0.1476658583,0.07550604454042224,0.07550604424575791,14.50712395,9.108639303282887,14.238419203573503,9.412350655,3.968192826240842,9.078172665105907,5.901864052,1.2579538052210577,5.922554131808872,-3.952002764,-4.046491841831069,-4.04649185840067,9.0,7.0,7.0,66.0,32.0,32.0,248.2424316,128.0,128.0,
v2,afmv2_06e9a8457ab9,6058,6058,2,weighted_rq_ra_range,13.09037479867485,0.0,False,13.09037479867485,0.77180426680768,0.6879888707824203,0.17844651640954934,0.0,0.29470908551189867,0.0,0.6258723139762878,8.192903518676758,True,5.841896534,0.6258723320430142,8.19290349392571,4.556092739,0.5482138766215253,7.176325195544088,27.66728783,1.968259391784668,25.76525318145752,1.131164074,0.17072230106955258,2.2348189317950204,1.006361246,0.12785012046134936,1.6736060150298278,0.1476658583,0.11976319225024452,0.11976319300142171,14.50712395,9.136112802866924,14.278968055134676,9.412350655,4.043280919943651,9.167893792515322,5.901864052,1.3348717204043945,6.073039582343056,-3.952002764,-3.9518640200400355,-3.951864061230244,9.0,6.0,6.0,66.0,38.0,38.0,248.2424316,107.78947368421052,107.78947368421052,4
v2,afmv2_06e9a8457ab9,6058,6058,3,weighted_rq_ra_range,12.98802943756549,0.0,False,12.98802943756549,0.931473195270392,0.7002788665274321,0.3555627532639324,0.0,0.26627936934093005,0.0,0.6336995363235474,8.230507850646973,True,5.841896534,0.6336995330501409,8.230508215999075,4.556092739,0.5562327232256061,7.224367005574734,27.66728783,1.9801841789484023,25.71869095802307,1.131164074,0.15903616555103844,2.0655664076418345,1.006361246,0.12196446488296661,1.5840780619143657,0.1476658583,0.0906050889598938,0.09060508885641433,14.50712395,9.069423395486242,14.196369678209264,9.412350655,3.8884593046919766,8.993966396769524,5.901864052,1.1545192356637075,5.77672312977329,-3.952002764,-4.103208351415037,-4.1032083456959665,9.0,7.0,7.0,66.0,25.0,25.0,248.2424316,163.84,163.84,
v2,afmv2_06e9a8457ab9,6058,6058,4,weighted_rq_ra_range,13.115324523696277,0.0,False,13.115324523696277,0.833694971782565,0.6947277572624505,0.24778025820027672,0.0,0.29628496020053474,0.0,0.6257314682006836,8.206671714782715,True,5.841896534,0.6257314478694476,8.20667128562519,4.556092739,0.5496049161362769,7.2082470827491445,27.66728783,1.9627041721343994,25.74150260925293,1.131164074,0.16188876987904421,2.123223826986699,1.006361246,0.12945086683074936,1.6977901868153222,0.1476658583,0.10311963078426115,0.10311963185811002,14.50712395,9.106141263765592,14.252726179270274,9.412350655,3.9341979080665217,9.060265519387725,5.901864052,1.334672746958283,6.077489118480188,-3.952002764,-3.9826756688191147,-3.9826757026878603,9.0,6.0,6.0,66.0,33.0,33.0,248.2424316,124.12121212121212,124.12121212121212,
v2,afmv2_06e9a8457ab9,6058,6058,5,weighted_rq_ra_range,13.060649644975916,0.0,False,13.060649644975916,0.8285450151017452,0.683333343194823,0.2524350792402314,0.0,0.2836819574263143,0.0,0.6257612109184265,8.172847747802734,True,5.841896534,0.6257611915812329,8.172847823581327,4.556092739,0.5484278427201132,7.1628240305434225,27.66728783,1.9741896331310271,25.784199647903442,1.131164074,0.16517385654415995,2.15727790842089,1.006361246,0.13337278975380765,1.741935307908091,0.1476658583,0.16473520446442877,0.16473520464079983,14.50712395,9.164741298730352,14.303075193684723,9.412350655,3.970897169065961,9.088918185095077,5.901864052,1.2024733413800535,5.8504246421787,-3.952002764,-4.066776600250382,-4.066776528970803,9.0,6.0,6.0,66.0,27.0,27.0,248.2424316,151.7037037037037,151.7037037037037,
v2,afmv2_06e9a8457ab9,6058,6058,6,weighted_rq_ra_range,13.048846450773551,0.0,False,13.048846450773551,0.7954969172237271,0.6835443409386714,0.20874346484619002,0.0,0.2752109779594818,0.0,0.6260982155799866,8.169859886169434,True,5.841896534,0.626098255943372,8.169859876674755,4.556092739,0.5492134322222977,7.166601633311151,27.66728783,1.975983772277832,25.784309101104736,1.131164074,0.15757079672583385,2.0561170991527167,1.006361246,0.12913158472377068,1.685018194953422,0.1476658583,0.15133931338383722,0.1513393139974368,14.50712395,9.103964494312736,14.240407005561915,9.412350655,3.964425190804989,9.081132823214254,5.901864052,1.168635145885689,5.794640551538251,-3.952002764,-4.069764399652123,-4.069764362414994,9.0,7.0,7.0,66.0,26.0,26.0,248.2424316,157.53846153846155,157.53846153846155,
v2,afmv2_06e9a8457ab9,6058,6058,7,weighted_rq_ra_range,12.981598849935926,0.0,False,12.981598849935926,0.9116440051723352,0.7214599754283869,0.30730997932923837,0.0,0.27831976859721197,0.0,0.6398522257804871,8.306304931640625,True,5.841896534,0.6398522532524868,8.306305275462739,4.556092739,0.562181258196482,7.298011575952405,27.66728783,1.9746707415580749,25.634383850097656,1.131164074,0.15928631055404452,2.06779098567511,1.006361246,0.12869720548433683,1.670695496756138,0.1476658583,0.09922761312940417,0.09922761278296663,14.50712395,9.117872775495254,14.243999812967301,9.412350655,3.9841716571765384,9.090839813517388,5.901864052,1.196980504903001,5.833505329948113,-3.952002764,-4.0697542687853945,-4.069754313201649,9.0,7.0,7.0,66.0,28.0,28.0,248.2424316,146.28571428571428,146.28571428571428,
v2,afmv2_06e9a8457ab9,6058,6058,8,weighted_rq_ra_range,13.13453694004386,0.0,False,13.13453694004386,0.7984407159737673,0.6743407853499531,0.22619626870883575,0.0,0.284285421716272,0.0,0.6191020011901855,8.13161849975586,True,5.841896534,0.619101988871544,8.131617821537125,4.556092739,0.5435078813391256,7.138724238255721,27.66728783,1.9658976340293886,25.821154499053954,1.131164074,0.16404436350440704,2.154646721000883,1.006361246,0.12727197203783738,1.67165839287808,0.1476658583,0.1716647159654198,0.17166471652668397,14.50712395,9.13026812893703,14.279750302407768,9.412350655,4.001853855632094,9.132068451666644,5.901864052,1.256107597427477,5.9758936099411715,-3.952002764,-4.01895832889161,-4.018958368782619,9.0,6.0,6.0,66.0,32.0,32.0,248.2424316,128.0,128.0,
v2,afmv2_06e9a8457ab9,6058,6058,9,weighted_rq_ra_range,12.988093218038644,0.0,False,12.988093218038644,0.9400810846637369,0.7130529094030921,0.353107989399584,0.0,0.27729108129511226,0.0,0.6362215280532837,8.263304710388184,True,5.841896534,0.6362215529456321,8.263304936755643,4.556092739,0.5604608743422262,7.279318168721555,27.66728783,1.976527127623558,25.671319284439086,1.131164074,0.16323102449528648,2.120059788306757,1.006361246,0.12958754765453318,1.6830951699487324,0.1476658583,0.09003399106447983,0.09003399141494278,14.50712395,9.136491957093796,14.263554355483896,9.412350655,3.9442641072649156,9.050641663379242,5.901864052,1.1816282691246327,5.794435394639614,-3.952002764,-4.100860632373554,-4.1008606022011325,9.0,7.0,7.0,66.0,26.0,26.0,248.2424316,157.53846153846155,157.53846153846155,
