stratum,count,mae_nm,rmse_nm,bias_nm
all,26,0.7678933646113553,0.9041150798742795,-0.06467780987262121
smooth_below_1p6_nm,7,0.5417601570245332,0.7628383490223852,0.23779371413507008
rough_3_to_10_nm,9,0.7696046159685026,0.8177929161775254,-0.6099920243764004
